Messstelle:                ;Mitterndorf a.d.F., Bl 15
HZB-Nummer:                ;300806
HD-Nummer:                 ;
DBMS-Nummer:               ;11002020
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.10.2016
 Geländehöhe:              ;180,73
 Messpunkthöhe:            ;181,43
 Sohllage:                 ;176,30
 T-Messtiefe u.GOK:        ;4,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.11.1961               ;16 29 36                 ;48 00 30
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
19.02.1962 07:01:00   ;   179,89 ;     
11.03.1963 07:01:00   ;   180,01 ;     
26.10.1964 07:01:00   ;   180,03 ;     
26.04.1965 07:01:00   ;   180,13 ;     
01.08.1966 07:01:00   ;   180,00 ;     
16.01.1967 07:01:00   ;   180,09 ;     
22.01.1968 07:01:00   ;   179,85 ;     
03.03.1969 07:01:00   ;   180,06 ;     
23.02.1970 07:01:00   ;   180,11 ;     
29.03.1971 07:01:00   ;   179,88 ;     
14.02.1972 07:01:00   ;   180,01 ;     
23.04.1973 07:01:00   ;   180,01 ;     
24.01.1974 07:01:00   ;   179,85 ;     
03.07.1975 07:01:00   ;   180,12 ;     
15.01.1976 07:01:00   ;   179,98 ;     
14.02.1977 07:01:00   ;   179,92 ;     
03.04.1978 07:01:00   ;   179,64 ;     
09.04.1979 07:01:00   ;   179,85 ;     
12.05.1980 07:01:00   ;   179,76 ;     
31.12.1981 23:59:55   ;   179,71 ;     
01.02.1982 07:01:00   ;   179,89 ;     
03.03.1983 07:01:00   ;   179,77 ;     
04.10.1984 07:01:00   ;   179,74 ;     
25.03.1985 07:01:00   ;   179,87 ;     
21.01.1986 07:01:00   ;   179,89 ;     
16.02.1987 07:01:00   ;   179,90 ;     
24.03.1988 07:01:00   ;   179,76 ;     
16.05.1989 07:01:00   ;   179,73 ;     
19.04.1990 07:01:00   ;   179,66 ;     
21.05.1991 07:01:00   ;   179,96 ;     
26.11.1992 07:01:00   ;   179,85 ;     
25.10.1993 07:01:00   ;   179,80 ;     
18.04.1994 07:01:00   ;   179,87 ;     
18.09.1995 07:01:00   ;   179,91 ;     
13.05.1996 07:01:00   ;   180,08 ;     
10.07.1997 07:01:00   ;   180,04 ;     
07.09.1998 07:01:00   ;   179,78 ;     
22.02.1999 07:01:00   ;   179,87 ;     
31.01.2000 07:01:00   ;   179,87 ;     
26.03.2001 07:01:00   ;   179,70 ;     
30.12.2002 07:01:00   ;   179,88 ;     
01.01.2003 00:00:05   ;   179,86 ;     
25.03.2004 07:01:00   ;   179,91 ;     
25.08.2005 07:01:00   ;   179,87 ;     
01.05.2006 07:01:00   ;   179,88 ;     
07.09.2007 16:00:00   ;   180,19 ;     
24.07.2008 00:00:00   ;   180,05 ;     
25.06.2009 17:00:00   ;   180,28 ;     
15.08.2010 04:00:00   ;   180,07 ;     
14.01.2011 22:00:00   ;   179,88 ;     
25.12.2012 00:00:00   ;   179,83 ;     
28.02.2013 18:00:00   ;   180,02 ;     
14.09.2014 04:00:00   ;   180,21 ;     
20.10.2015 09:00:00   ;   179,86 ;     
12.11.2016 16:00:00   ;   179,82 ;     
20.09.2017 09:00:00   ;   179,82 ;     
24.12.2018 13:00:00   ;   179,98 ;     
16.05.2019 09:00:00   ;   179,84 ;     
13.10.2020 23:00:00   ;   179,90 ;     
29.01.2021 17:00:00   ;   179,85 ;     
