Messstelle:                ;Sarling, Bl 2057.002
HZB-Nummer:                ;302893
HD-Nummer:                 ;
DBMS-Nummer:               ;3002247
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.10.1982
 Geländehöhe:              ;217,60
 Messpunkthöhe:            ;218,60
 Sohllage:                 ;212,80
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 06 18                 ;48 10 10
  01.01.2009               ;15 06 18                 ;48 10 10
  20.09.1955               ;15 06 30                 ;48 10 09
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1982 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.07.1982 07:01:00   ;   216,59 ;     
08.01.1983 07:01:00   ;   216,21 ;     
29.09.1984 07:01:00   ;   215,74 ;     
08.08.1985 07:01:00   ;   217,60 ;     
21.01.1986 07:01:00   ;   216,87 ;     
21.12.1987 07:01:00   ;   217,10 ;     
28.03.1988 07:01:00   ;   217,60 ;     
09.01.1989 07:01:00   ;   215,57 ;     
09.07.1990 07:01:00   ;   216,05 ;     
04.08.1991 07:01:00   ;   217,60 ;     
24.11.1992 07:01:00   ;   217,36 ;     
20.07.1993 07:01:00   ;   216,42 ;     
18.04.1994 07:01:00   ;   217,10 ;     
27.06.1995 07:01:00   ;   217,20 ;     
16.09.1996 07:01:00   ;   215,90 ;     
22.07.1997 07:01:00   ;   217,12 ;     
04.11.1998 07:01:00   ;   215,95 ;     
27.05.1999 07:01:00   ;   217,22 ;     
08.08.2000 07:01:00   ;   216,16 ;     
12.06.2001 07:01:00   ;   216,42 ;     
14.08.2002 07:01:00   ;   217,60 ;     
01.01.2003 00:00:05   ;   215,68 ;     
09.06.2004 07:01:00   ;   215,47 ;     
12.07.2005 07:01:00   ;   217,60 ;     
29.03.2006 07:01:00   ;   217,60 ;     
11.09.2007 07:01:00   ;   216,40 ;     
16.07.2008 07:01:00   ;   215,56 ;     
25.06.2009 07:01:00   ;   217,38 ;     
01.09.2010 07:01:00   ;   216,67 ;     
13.10.2011 07:01:00   ;   215,79 ;     
14.06.2012 07:01:00   ;   216,36 ;     
06.06.2013 07:01:00   ;   217,60 ;     
23.10.2014 07:01:00   ;   217,10 ;     
07.05.2015 07:01:00   ;   215,76 ;     
02.06.2016 07:01:00   ;   216,25 ;     
10.05.2017 07:01:00   ;   215,76 ;     
05.01.2018 07:01:00   ;   216,35 ;     
07.06.2019 07:01:00   ;   216,06 ;     
06.08.2020 07:01:00   ;   216,28 ;     
01.09.2021 07:01:00   ;   216,03 ;     
