Messstelle:                ;Frauendorf, Br
HZB-Nummer:                ;303958
HD-Nummer:                 ;
DBMS-Nummer:               ;3002353
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.06.1974
 Geländehöhe:              ;189,39
 Messpunkthöhe:            ;189,39
 Sohllage:                 ;184,02
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 46 58                 ;48 21 09
  09.04.1963               ;15 46 58                 ;48 21 09
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1975 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.08.1975 07:01:00   ;   185,48 ;     
20.12.1976 07:01:00   ;   185,41 ;     
25.04.1977 07:01:00   ;   185,74 ;     
09.01.1978 07:01:00   ;   185,30 ;     
14.05.1979 07:01:00   ;   185,50 ;     
12.05.1980 07:01:00   ;   185,65 ;     
05.01.1981 07:01:00   ;   185,50 ;     
15.02.1982 07:01:00   ;   185,50 ;     
07.02.1983 07:01:00   ;   185,37 ;     
28.05.1984 07:01:00   ;   185,29 ;     
13.05.1985 07:01:00   ;   185,55 ;     
07.04.1986 07:01:00   ;   185,65 ;     
09.06.1987 07:01:00   ;   185,77 ;     
18.04.1988 07:01:00   ;   185,64 ;     
26.06.1989 07:01:00   ;   185,92 ;     
07.05.1990 07:01:00   ;   185,58 ;     
19.08.1991 07:01:00   ;   185,65 ;     
11.05.1992 07:01:00   ;   185,56 ;     
19.04.1993 07:01:00   ;   185,50 ;     
02.05.1994 07:01:00   ;   185,53 ;     
24.04.1995 07:01:00   ;   185,39 ;     
20.05.1996 07:01:00   ;   185,80 ;     
04.08.1997 07:01:00   ;   185,82 ;     
01.01.1998 00:00:05   ;   185,55 ;     
09.08.1999 07:01:00   ;   185,89 ;     
26.03.2000 07:01:00   ;   185,77 ;     
29.04.2001 07:01:00   ;   185,44 ;     
08.12.2002 07:01:00   ;   185,77 ;     
09.02.2003 07:01:00   ;   185,87 ;     
11.04.2004 07:01:00   ;   185,59 ;     
28.08.2005 07:01:00   ;   185,68 ;     
11.06.2006 07:01:00   ;   185,80 ;     
16.12.2007 07:01:00   ;   185,67 ;     
15.06.2008 07:01:00   ;   185,69 ;     
05.07.2009 07:01:00   ;   186,57 ;     
20.06.2010 07:01:00   ;   186,63 ;     
23.01.2011 07:01:00   ;   185,63 ;     
18.03.2012 07:01:00   ;   185,51 ;     
30.06.2013 07:01:00   ;   185,97 ;     
02.11.2014 07:01:00   ;   185,83 ;     
18.01.2015 07:01:00   ;   185,80 ;     
24.07.2016 07:01:00   ;   185,77 ;     
14.05.2017 07:01:00   ;   185,77 ;     
04.02.2018 07:01:00   ;   185,60 ;     
02.06.2019 07:01:00   ;   185,74 ;     
01.11.2020 07:01:00   ;   185,78 ;     
22.08.2021 07:01:00   ;   185,95 ;     
