Messstelle:                ;Langenrohr, Br
HZB-Nummer:                ;304121
HD-Nummer:                 ;
DBMS-Nummer:               ;3002370
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.03.2011
 Geländehöhe:              ;182,53
 Messpunkthöhe:            ;183,23
 Sohllage:                 ;176,70
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 00 17                 ;48 18 28
  11.01.1940               ;16 00 18                 ;48 18 27
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1985 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.08.1985 07:01:00   ;   177,56 ;     
16.06.1986 07:01:00   ;   177,62 ;     
22.06.1987 07:01:00   ;   178,16 ;     
28.03.1988 07:01:00   ;   178,21 ;     
01.05.1989 07:01:00   ;   177,84 ;     
09.05.1990 07:01:00   ;   177,52 ;     
05.08.1991 07:01:00   ;   178,27 ;     
29.06.1992 07:01:00   ;   177,58 ;     
18.03.1993 07:01:00   ;   177,58 ;     
20.04.1994 07:01:00   ;   177,92 ;     
26.06.1995 07:01:00   ;   177,50 ;     
14.05.1996 07:01:00   ;   178,38 ;     
08.07.1997 07:01:00   ;   179,03 ;     
15.06.1998 07:01:00   ;   177,53 ;     
24.05.1999 07:01:00   ;   177,82 ;     
13.03.2000 07:01:00   ;   177,60 ;     
17.09.2001 07:01:00   ;   177,66 ;     
25.03.2002 07:01:00   ;   177,99 ;     
01.01.2003 00:00:05   ;   177,71 ;     
04.04.2004 07:01:00   ;   177,66 ;     
19.03.2005 07:01:00   ;   177,72 ;     
01.04.2006 07:01:00   ;   178,16 ;     
07.09.2007 07:01:00   ;   177,92 ;     
26.04.2008 07:01:00   ;   177,69 ;     
27.06.2009 07:01:00   ;   178,62 ;     
04.06.2010 07:01:00   ;   178,58 ;     
15.01.2011 07:01:00   ;   177,68 ;     
13.06.2012 18:00:00   ;   177,64 ;     
05.06.2013 15:00:00   ;   178,86 ;     
17.05.2014 11:00:00   ;   178,15 ;     
24.05.2015 06:00:00   ;   177,82 ;     
15.07.2016 07:00:00   ;   177,82 ;     
20.03.2017 05:00:00   ;   177,71 ;     
25.12.2018 03:00:00   ;   177,74 ;     
30.05.2019 10:00:00   ;   177,95 ;     
21.06.2020 20:00:00   ;   178,41 ;     
19.07.2021 09:00:00   ;   177,88 ;     
