Messstelle:                ;Preuwitz, Br
HZB-Nummer:                ;304246
HD-Nummer:                 ;
DBMS-Nummer:               ;3002382
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.03.2013
 Geländehöhe:              ;186,25
 Messpunkthöhe:            ;186,95
 Sohllage:                 ;181,54
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 48 48                 ;48 21 23
  24.08.1939               ;15 48 50                 ;48 21 23
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
10.06.1940 07:01:00   ;   184,07 ;     
05.05.1941 07:01:00   ;   183,87 ;     
01.06.1942 07:01:00   ;   183,83 ;     
04.01.1943 07:01:00   ;   183,14 ;     
01.05.1944 07:01:00   ;   183,44 ;     
29.07.1946 07:01:00   ;   183,23 ;     
14.04.1947 07:01:00   ;   183,47 ;     
02.08.1948 07:01:00   ;   183,27 ;     
29.08.1949 07:01:00   ;   183,27 ;     
27.11.1950 07:01:00   ;   183,28 ;     
25.06.1951 07:01:00   ;   183,59 ;     
28.04.1952 07:01:00   ;   183,48 ;     
10.08.1953 07:01:00   ;   183,11 ;     
02.08.1954 07:01:00   ;   184,28 ;     
22.08.1955 07:01:00   ;   183,45 ;     
19.03.1956 07:01:00   ;   183,39 ;     
05.08.1957 07:01:00   ;   183,29 ;     
14.07.1958 07:01:00   ;   183,38 ;     
24.08.1959 07:01:00   ;   184,01 ;     
11.04.1960 07:01:00   ;   183,55 ;     
13.11.1961 07:01:00   ;   183,18 ;     
25.06.1962 07:01:00   ;   183,19 ;     
03.06.1963 07:01:00   ;   183,35 ;     
15.06.1964 07:01:00   ;   183,21 ;     
05.07.1965 07:01:00   ;   184,07 ;     
19.09.1966 07:01:00   ;   183,69 ;     
23.01.1967 07:01:00   ;   183,46 ;     
12.02.1968 07:01:00   ;   183,16 ;     
28.04.1969 07:01:00   ;   183,18 ;     
22.06.1970 07:01:00   ;   183,42 ;     
11.01.1971 07:01:00   ;   183,17 ;     
07.08.1972 07:01:00   ;   183,36 ;     
28.05.1973 07:01:00   ;   183,20 ;     
18.02.1974 07:01:00   ;   183,17 ;     
14.07.1975 07:01:00   ;   182,87 ;     
02.02.1976 07:01:00   ;   182,75 ;     
25.04.1977 07:01:00   ;   183,10 ;     
09.01.1978 07:01:00   ;   182,70 ;     
24.12.1979 07:01:00   ;   182,78 ;     
19.05.1980 07:01:00   ;   182,98 ;     
12.01.1981 07:01:00   ;   182,86 ;     
14.06.1982 07:01:00   ;   182,90 ;     
21.03.1983 07:01:00   ;   182,81 ;     
28.05.1984 07:01:00   ;   182,72 ;     
31.12.1985 23:59:55   ;   183,03 ;     
14.04.1986 07:01:00   ;   183,12 ;     
07.06.1987 07:01:00   ;   183,24 ;     
17.04.1988 07:01:00   ;   183,18 ;     
09.07.1989 07:01:00   ;   183,25 ;     
29.04.1990 07:01:00   ;   183,02 ;     
11.08.1991 07:01:00   ;   183,10 ;     
05.04.1992 07:01:00   ;   182,97 ;     
25.04.1993 07:01:00   ;   182,97 ;     
24.04.1994 07:01:00   ;   182,93 ;     
31.12.1995 23:59:55   ;   182,86 ;     
26.05.1996 07:01:00   ;   183,21 ;     
27.07.1997 07:01:00   ;   183,29 ;     
04.01.1998 07:01:00   ;   183,09 ;     
05.09.1999 07:01:00   ;   183,28 ;     
26.03.2000 07:01:00   ;   183,29 ;     
08.04.2001 07:01:00   ;   183,04 ;     
31.12.2002 23:59:55   ;   183,33 ;     
16.02.2003 07:01:00   ;   183,59 ;     
13.06.2004 07:01:00   ;   183,30 ;     
10.07.2005 07:01:00   ;   183,15 ;     
13.08.2006 07:01:00   ;   183,41 ;     
23.12.2007 07:01:00   ;   183,25 ;     
17.08.2008 07:01:00   ;   183,33 ;     
12.07.2009 07:01:00   ;   183,94 ;     
13.06.2010 07:01:00   ;   184,11 ;     
20.02.2011 07:01:00   ;   183,39 ;     
15.07.2012 07:01:00   ;   183,24 ;     
23.06.2013 07:01:00   ;   183,65 ;     
30.11.2014 07:01:00   ;   183,59 ;     
22.02.2015 07:01:00   ;   183,57 ;     
12.06.2016 07:01:00   ;   183,52 ;     
23.04.2017 07:01:00   ;   183,52 ;     
21.02.2018 07:01:00   ;   183,38 ;     
02.06.2019 07:01:00   ;   183,48 ;     
20.12.2020 07:01:00   ;   183,39 ;     
29.08.2021 07:01:00   ;   183,43 ;     
