Messstelle:                ;Markthof - Schloßhof, Br
HZB-Nummer:                ;305128
HD-Nummer:                 ;
DBMS-Nummer:               ;3002468
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.05.2011
 Geländehöhe:              ;153,26
 Messpunkthöhe:            ;153,66
 Sohllage:                 ;148,62
 T-Messtiefe u.GOK:        ;4,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 56 20                 ;48 12 58
  03.04.1939               ;16 56 21                 ;48 12 58
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.02.1940 07:01:00   ;   152,17 ;     
17.03.1941 07:01:00   ;   151,76 ;     
23.05.1949 07:01:00   ;   151,73 ;     
06.11.1950 07:01:00   ;   151,75 ;     
26.11.1951 07:01:00   ;   151,78 ;     
03.03.1952 07:01:00   ;   151,60 ;     
17.06.1953 07:01:00   ;   151,50 ;     
27.12.1954 07:01:00   ;   151,62 ;     
18.04.1955 07:01:00   ;   151,73 ;     
12.03.1956 07:01:00   ;   151,78 ;     
08.04.1957 07:01:00   ;   151,59 ;     
30.06.1958 07:01:00   ;   151,65 ;     
15.06.1959 07:01:00   ;   151,74 ;     
04.01.1960 07:01:00   ;   151,57 ;     
12.02.1961 07:01:00   ;   151,53 ;     
17.12.1962 07:01:00   ;   151,71 ;     
29.07.1963 07:01:00   ;   151,88 ;     
26.10.1964 07:01:00   ;   151,68 ;     
24.05.1965 07:01:00   ;   151,91 ;     
01.08.1966 07:01:00   ;   151,72 ;     
01.01.1967 00:00:05   ;   151,65 ;     
10.06.1968 07:01:00   ;   151,48 ;     
23.06.1969 07:01:00   ;   151,75 ;     
16.03.1970 07:01:00   ;   151,87 ;     
05.04.1971 07:01:00   ;   151,67 ;     
17.07.1972 07:01:00   ;   151,80 ;     
23.04.1973 07:01:00   ;   151,91 ;     
21.01.1974 07:01:00   ;   151,60 ;     
30.06.1975 07:01:00   ;   151,61 ;     
19.01.1976 07:01:00   ;   151,54 ;     
14.02.1977 07:01:00   ;   151,75 ;     
26.06.1978 07:01:00   ;   151,52 ;     
19.11.1979 07:01:00   ;   151,78 ;     
28.04.1980 07:01:00   ;   151,66 ;     
18.05.1981 07:01:00   ;   151,53 ;     
11.01.1982 07:01:00   ;   151,76 ;     
07.03.1983 07:01:00   ;   151,60 ;     
13.08.1984 07:01:00   ;   151,46 ;     
16.12.1985 07:01:00   ;   151,75 ;     
20.01.1986 07:01:00   ;   151,76 ;     
16.02.1987 07:01:00   ;   151,95 ;     
14.03.1988 07:01:00   ;   151,82 ;     
11.09.1989 07:01:00   ;   151,57 ;     
23.04.1990 07:01:00   ;   151,57 ;     
20.05.1991 07:01:00   ;   151,82 ;     
30.03.1992 07:01:00   ;   151,76 ;     
05.04.1993 07:01:00   ;   151,66 ;     
10.01.1994 07:01:00   ;   151,79 ;     
18.09.1995 07:01:00   ;   151,84 ;     
08.04.1996 07:01:00   ;   151,95 ;     
07.07.1997 07:01:00   ;   151,90 ;     
12.10.1998 07:01:00   ;   151,72 ;     
22.02.1999 07:01:00   ;   151,86 ;     
03.04.2000 07:01:00   ;   151,80 ;     
14.05.2001 07:01:00   ;   151,57 ;     
30.12.2002 07:01:00   ;   151,71 ;     
03.02.2003 07:01:00   ;   151,77 ;     
29.03.2004 07:01:00   ;   151,88 ;     
23.05.2005 07:01:00   ;   151,82 ;     
29.05.2006 07:01:00   ;   151,77 ;     
26.03.2007 07:01:00   ;   151,71 ;     
28.01.2008 07:01:00   ;   151,32 ;     
11.03.2009 07:01:00   ;   151,65 ;     
27.09.2010 07:01:00   ;   151,73 ;     
21.03.2011 07:01:00   ;   151,23 ;     
06.11.2012 08:00:00   ;   150,69 ;     
28.02.2013 03:00:00   ;   151,57 ;     
14.09.2014 03:00:00   ;   151,70 ;     
20.10.2015 12:00:00   ;   151,31 ;     
22.02.2016 01:00:00   ;   151,29 ;     
31.12.2017 23:59:55   ;   151,01 ;     
07.07.2018 05:00:00   ;   151,42 ;     
23.05.2019 15:00:00   ;   151,27 ;     
14.10.2020 10:00:00   ;   151,55 ;     
18.05.2021 15:00:00   ;   151,14 ;     
