Messstelle:                ;Schaumberg, Br 2158.014
HZB-Nummer:                ;307173
HD-Nummer:                 ;2158.014
DBMS-Nummer:               ;4002060
Fremdnummer:               ;A134
PorenGW-Gebiet:            ;096 Südliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.03.1973
 Geländehöhe:              ;271,41
 Messpunkthöhe:            ;271,91
 Sohllage:                 ;262,59
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 58 55                 ;48 20 58
  01.01.2003               ;13 58 57                 ;48 20 59
  21.09.1959               ;13 58 57                 ;48 20 59
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1974 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.12.1974 07:01:00   ;   268,10 ;     
01.01.1975 00:00:05   ;   267,89 ;     
12.01.1976 07:01:00   ;   267,34 ;     
21.03.1977 07:01:00   ;   265,37 ;     
24.04.1978 07:01:00   ;   264,47 ;     
09.04.1979 07:01:00   ;   266,63 ;     
19.05.1980 07:01:00   ;   265,15 ;     
23.03.1981 07:01:00   ;   266,16 ;     
08.02.1982 07:01:00   ;   266,94 ;     
09.05.1983 07:01:00   ;   264,91 ;     
02.04.1984 07:01:00   ;   264,19 ;     
15.04.1985 07:01:00   ;   264,63 ;     
03.02.1986 07:01:00   ;   266,08 ;     
13.04.1987 07:01:00   ;   265,35 ;     
28.03.1988 07:01:00   ;   269,17 ;     
30.01.1989 07:01:00   ;   264,72 ;     
26.03.1990 07:01:00   ;   264,61 ;     
04.02.1991 07:01:00   ;   264,08 ;     
21.04.1992 07:01:00   ;   264,43 ;     
13.04.1993 07:01:00   ;   264,45 ;     
25.04.1994 07:01:00   ;   265,57 ;     
24.04.1995 07:01:00   ;   265,06 ;     
24.06.1996 07:01:00   ;   264,46 ;     
05.05.1997 07:01:00   ;   264,53 ;     
31.12.1998 23:59:55   ;   264,50 ;     
22.03.1999 07:01:00   ;   265,89 ;     
04.04.2000 07:01:00   ;   266,20 ;     
04.05.2001 07:01:00   ;   264,88 ;     
22.03.2002 07:01:00   ;   266,92 ;     
10.01.2003 07:01:00   ;   265,96 ;     
21.05.2004 07:01:00   ;   264,40 ;     
08.04.2005 07:01:00   ;   264,59 ;     
14.04.2006 07:01:00   ;   265,65 ;     
29.03.2007 07:01:00   ;   264,27 ;     
18.04.2008 07:01:00   ;   264,58 ;     
17.04.2009 07:01:00   ;   264,89 ;     
23.04.2010 07:01:00   ;   264,17 ;     
08.03.2011 07:01:00   ;   264,03 ;     
24.02.2012 07:01:00   ;   264,86 ;     
03.08.2013 07:01:00   ;   264,61 ;     
05.01.2014 07:01:00   ;   263,75 ;     
13.06.2015 07:01:00   ;   264,06 ;     
08.04.2016 07:01:00   ;   264,28 ;     
17.06.2017 07:01:00   ;   264,39 ;     
10.02.2018 07:01:00   ;   264,92 ;     
12.04.2019 07:01:00   ;   264,51 ;     
24.04.2020 07:01:00   ;   263,84 ;     
19.03.2021 07:01:00   ;   264,17 ;     
