Messstelle:                ;Tschinowitsch, Bl 114
HZB-Nummer:                ;309856
HD-Nummer:                 ;
DBMS-Nummer:               ;2002030
PorenGW-Gebiet:            ;425 Unteres Gailtal
Grundwasserkörper:         ;Gailtal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Kärntner Elektrizitätswerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;27.05.2021
 Geländehöhe:              ;493,06
 Messpunkthöhe:            ;494,09
 Sohllage:                 ;482,94
 T-Messtiefe u.GOK:        ;6,97
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  22.07.1963               ;13 51 09                 ;46 35 12
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.11.1966 07:01:00   ;   491,92 ;     
25.09.1967 07:01:00   ;   491,32 ;     
17.06.1968 07:01:00   ;   491,18 ;     
05.05.1969 07:01:00   ;   491,33 ;     
27.04.1970 07:01:00   ;   491,70 ;     
03.05.1971 07:01:00   ;   491,14 ;     
19.06.1972 07:01:00   ;   491,58 ;     
01.10.1973 07:01:00   ;   491,96 ;     
01.07.1974 07:01:00   ;   490,90 ;     
12.05.1975 07:01:00   ;   491,59 ;     
08.11.1976 07:01:00   ;   491,23 ;     
28.02.1977 07:01:00   ;   491,31 ;     
26.05.1978 07:01:00   ;   491,58 ;     
23.05.1979 07:01:00   ;   491,47 ;     
24.10.1980 07:01:00   ;   491,18 ;     
29.05.1981 07:01:00   ;   490,87 ;     
20.12.1982 07:01:00   ;   490,93 ;     
01.01.1983 00:00:05   ;   490,63 ;     
08.10.1984 07:01:00   ;   491,16 ;     
06.05.1985 07:01:00   ;   491,31 ;     
05.05.1986 07:01:00   ;   491,01 ;     
13.04.1987 07:01:00   ;   490,95 ;     
09.05.1988 07:01:00   ;   490,46 ;     
03.07.1989 07:01:00   ;   490,76 ;     
26.11.1990 07:01:00   ;   491,06 ;     
13.05.1991 07:01:00   ;   491,03 ;     
07.12.1992 07:01:00   ;   491,24 ;     
11.10.1993 07:01:00   ;   491,79 ;     
19.09.1994 07:01:00   ;   490,47 ;     
12.06.1995 07:01:00   ;   490,31 ;     
18.11.1996 07:01:00   ;   492,18 ;     
30.06.1997 07:30:00   ;   490,24 ;     
12.10.1998 07:30:00   ;   491,30 ;     
04.10.1999 07:30:00   ;   490,79 ;     
22.11.2000 07:30:00   ;   491,94 ;     
08.01.2001 07:30:00   ;   490,69 ;     
02.12.2002 07:30:00   ;   491,34 ;     
03.11.2003 07:30:00   ;   490,97 ;     
01.11.2004 07:30:00   ;   491,31 ;     
10.10.2005 07:30:00   ;   490,86 ;     
01.05.2006 07:30:00   ;   490,55 ;     
26.11.2007 07:30:00   ;   490,16 ;     
03.11.2008 07:30:00   ;   491,02 ;     
28.12.2009 07:30:00   ;   490,96 ;     
22.11.2010 07:30:00   ;   490,66 ;     
20.06.2011 07:30:00   ;   490,75 ;     
12.11.2012 07:30:00   ;   491,90 ;     
29.04.2013 07:30:00   ;   490,74 ;     
10.11.2014 07:30:00   ;   491,47 ;     
19.10.2015 07:30:00   ;   490,45 ;     
21.11.2016 07:30:00   ;   490,53 ;     
25.09.2017 07:30:00   ;   490,52 ;     
05.11.2018 07:30:00   ;   491,08 ;     
18.11.2019 16:12:00   ;   492,47 ;     
05.10.2020 16:21:00   ;   491,05 ;     
27.05.2021 11:32:00   ;   490,91 ;     
