Messstelle:                ;Lind, Br  2505
HZB-Nummer:                ;309948
HD-Nummer:                 ;uw2505
DBMS-Nummer:               ;6002004
PorenGW-Gebiet:            ;360 Aichfeld-Murboden
Grundwasserkörper:         ;Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.06.1964
 Geländehöhe:              ;656,81
 Messpunkthöhe:            ;657,21
 Sohllage:                 ;638,11
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 47 13                 ;47 11 52
  01.06.1964               ;14 47 14                 ;47 11 51
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.09.1966 07:01:00   ;   641,23 ;     
19.05.1967 07:01:00   ;   640,00 ;     
13.08.1968 07:01:00   ;   639,81 ;     
12.06.1969 07:01:00   ;   639,59 ;     
13.08.1970 07:01:00   ;   639,91 ;     
20.05.1971 07:01:00   ;   639,28 ;     
20.07.1972 07:01:00   ;   640,45 ;     
28.06.1973 07:01:00   ;   639,77 ;     
10.06.1974 07:01:00   ;   639,28 ;     
26.05.1975 07:01:00   ;   639,81 ;     
17.05.1976 07:01:00   ;   639,01 ;     
23.05.1977 07:01:00   ;   639,33 ;     
12.06.1978 07:01:00   ;   639,31 ;     
25.06.1979 07:01:00   ;   639,57 ;     
14.07.1980 07:01:00   ;   639,42 ;     
01.06.1981 07:01:00   ;   639,24 ;     
31.05.1982 07:01:00   ;   639,25 ;     
04.04.1983 07:01:00   ;   638,89 ;     
28.05.1984 07:01:00   ;   639,30 ;     
10.06.1985 07:01:00   ;   639,37 ;     
12.05.1986 07:01:00   ;   639,78 ;     
15.06.1987 07:01:00   ;   639,55 ;     
23.05.1988 07:01:00   ;   639,15 ;     
10.07.1989 07:01:00   ;   639,76 ;     
16.07.1990 07:01:00   ;   639,49 ;     
29.07.1991 07:01:00   ;   639,69 ;     
18.05.1992 07:01:00   ;   639,52 ;     
25.10.1993 07:01:00   ;   639,57 ;     
30.05.1994 07:01:00   ;   639,45 ;     
03.07.1995 07:01:00   ;   639,47 ;     
20.05.1996 07:01:00   ;   639,55 ;     
30.06.1997 07:01:00   ;   639,43 ;     
12.10.1998 07:01:00   ;   639,20 ;     
06.09.1999 07:01:00   ;   639,75 ;     
22.05.2000 07:01:00   ;   639,58 ;     
14.05.2001 07:01:00   ;   639,46 ;     
26.08.2002 07:01:00   ;   639,23 ;     
02.06.2003 07:01:00   ;   638,90 ;     
12.07.2004 07:01:00   ;   639,68 ;     
29.08.2005 07:01:00   ;   639,51 ;     
29.05.2006 07:01:00   ;   639,50 ;     
16.07.2007 07:01:00   ;   639,20 ;     
02.06.2008 07:01:00   ;   639,16 ;     
08.06.2009 07:01:00   ;   639,58 ;     
28.06.2010 07:01:00   ;   639,21 ;     
20.06.2011 07:01:00   ;   639,02 ;     
23.07.2012 07:01:00   ;   639,86 ;     
06.05.2013 07:01:00   ;   639,78 ;     
15.09.2014 07:01:00   ;   639,59 ;     
25.05.2015 07:01:00   ;   639,12 ;     
15.08.2016 07:01:00   ;   639,31 ;     
21.08.2017 07:01:00   ;   639,41 ;     
14.05.2018 07:01:00   ;   639,39 ;     
10.06.2019 07:01:00   ;   639,23 ;     
14.09.2020 07:01:00   ;   638,96 ;     
21.06.2021 07:01:00   ;   638,96 ;     
