Messstelle:                ;Tillmitsch, Br  3802
HZB-Nummer:                ;311480
HD-Nummer:                 ;uw3802
DBMS-Nummer:               ;6002158
PorenGW-Gebiet:            ;390 Leibnitzer Feld
Grundwasserkörper:         ;Leibnitzer Feld [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1965
 Geländehöhe:              ;280,78
 Messpunkthöhe:            ;281,18
 Sohllage:                 ;274,98
 T-Messtiefe u.GOK:        ;7,75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 31 10                 ;46 49 05
  01.06.1962               ;15 31 08                 ;46 49 05
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1977 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
21.02.1977 07:01:00   ;   275,49 ;     
31.07.1978 07:01:00   ;   275,40 ;     
26.11.1979 07:01:00   ;   276,30 ;     
01.01.1980 00:00:05   ;   275,91 ;     
01.01.1981 00:00:05   ;   275,49 ;     
31.12.1982 23:59:55   ;   275,80 ;     
03.01.1983 07:01:00   ;   275,82 ;     
09.04.1984 07:01:00   ;   275,65 ;     
20.05.1985 07:01:00   ;   275,52 ;     
23.06.1986 07:01:00   ;   276,03 ;     
10.08.1987 07:01:00   ;   275,67 ;     
26.09.1988 07:01:00   ;   275,31 ;     
09.10.1989 07:01:00   ;   275,53 ;     
12.11.1990 07:01:00   ;   275,28 ;     
02.12.1991 07:01:00   ;   275,81 ;     
01.01.1992 00:00:05   ;   275,41 ;     
31.12.1993 23:59:55   ;   275,26 ;     
21.11.1994 07:01:00   ;   275,42 ;     
13.03.1995 07:01:00   ;   275,68 ;     
08.04.1996 07:01:00   ;   276,11 ;     
01.01.1997 00:00:05   ;   275,26 ;     
16.11.1998 07:01:00   ;   275,46 ;     
06.09.1999 07:01:00   ;   275,54 ;     
01.01.2000 00:00:05   ;   275,19 ;     
08.01.2001 07:01:00   ;   274,93 ;     
16.12.2002 07:01:00   ;   274,97 ;     
01.01.2003 00:00:05   ;   274,77 ;     
05.07.2004 07:01:00   ;   275,21 ;     
10.10.2005 07:01:00   ;   275,21 ;     
29.05.2006 07:01:00   ;   275,33 ;     
09.04.2007 07:01:00   ;   275,02 ;     
29.12.2008 07:01:00   ;   274,78 ;     
14.09.2009 07:01:00   ;   275,70 ;     
27.09.2010 07:01:00   ;   275,55 ;     
01.01.2011 00:00:05   ;   275,31 ;     
11.11.2012 02:00:00   ;   275,32 ;     
12.05.2013 14:00:00   ;   275,69 ;     
15.09.2014 20:00:00   ;   276,37 ;     
01.01.2015 00:00:05   ;   275,49 ;     
15.03.2016 02:00:00   ;   275,28 ;     
08.02.2017 22:00:00   ;   274,68 ;     
21.05.2018 00:00:00   ;   275,58 ;     
24.06.2019 22:00:00   ;   274,76 ;     
20.12.2020 04:00:00   ;   275,17 ;     
08.01.2021 00:00:00   ;   275,12 ;     
