Messstelle:                ;Wien 22, Br 22-130
HZB-Nummer:                ;312918
HD-Nummer:                 ;22-130
DBMS-Nummer:               ;9002088
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.07.2021
 Geländehöhe:              ;160,82
 Messpunkthöhe:            ;161,08
 Sohllage:                 ;152,57
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.02.1947               ;16 26 53                 ;48 14 59
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 HG08 durch Großbaustelle beeinflusst
  2003 HG08 durch Großbaustelle beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.07.1951 07:01:00   ;   156,08 ;     
05.01.1961 07:01:00   ;   154,71 ;     
05.07.1962 07:01:00   ;   154,43 ;     
04.07.1963 07:01:00   ;   154,23 ;     
03.01.1964 07:01:00   ;   154,04 ;     
28.09.1965 07:01:00   ;   155,61 ;     
25.10.1966 07:01:00   ;   155,51 ;     
02.02.1967 07:01:00   ;   155,61 ;     
14.02.1968 07:01:00   ;   154,99 ;     
19.03.1969 07:01:00   ;   154,42 ;     
14.10.1970 07:01:00   ;   154,81 ;     
01.01.1971 00:00:05   ;   154,73 ;     
06.09.1972 07:01:00   ;   154,25 ;     
07.02.1973 07:01:00   ;   154,08 ;     
23.01.1974 07:01:00   ;   154,03 ;     
10.09.1975 07:01:00   ;   154,39 ;     
01.01.1976 00:00:05   ;   154,16 ;     
28.09.1977 07:01:00   ;   154,08 ;     
04.01.1978 07:01:00   ;   153,95 ;     
29.08.1979 07:01:00   ;   154,27 ;     
12.05.1980 07:01:00   ;   154,44 ;     
12.01.1981 07:01:00   ;   154,37 ;     
29.03.1982 07:01:00   ;   154,50 ;     
18.04.1983 07:01:00   ;   154,35 ;     
13.02.1984 07:01:00   ;   154,06 ;     
31.12.1985 23:59:55   ;   154,26 ;     
01.04.1986 07:01:00   ;   154,44 ;     
24.08.1987 07:01:00   ;   155,04 ;     
18.04.1988 07:01:00   ;   154,86 ;     
01.01.1989 00:00:05   ;   154,70 ;     
01.01.1990 00:00:05   ;   154,54 ;     
26.08.1991 07:01:00   ;   154,44 ;     
22.06.1992 07:01:00   ;   154,43 ;     
29.11.1993 07:01:00   ;   154,29 ;     
13.06.1994 07:01:00   ;   154,45 ;     
31.12.1995 23:59:55   ;   154,47 ;     
28.10.1996 07:01:00   ;   155,02 ;     
21.07.1997 11:11:00   ;   155,25 ;     
16.11.1998 11:11:00   ;   155,02 ;     
27.05.1999 07:30:00   ;   155,11 ;     
13.04.2000 08:00:00   ;   155,11 ;     
04.01.2001 09:00:00   ;   154,86 ;     
31.12.2002 23:59:55   ;   154,83 ;     
20.02.2003 09:10:00   ;   154,89 ;     
15.07.2004 07:00:00   ;   154,97 ;     
17.03.2005 08:30:00   ;   154,89 ;     
08.06.2006 07:05:00   ;   155,09 ;     
27.12.2007 08:35:00   ;   155,16 ;     
31.07.2008 07:30:00   ;   155,22 ;     
13.08.2009 08:05:00   ;   155,38 ;     
24.06.2010 06:35:00   ;   155,59 ;     
19.01.2011 07:35:00   ;   155,45 ;     
31.01.2012 07:30:00   ;   155,15 ;     
03.07.2013 05:20:00   ;   155,37 ;     
29.10.2014 05:45:00   ;   155,26 ;     
21.01.2015 05:45:00   ;   155,29 ;     
20.07.2016 05:50:00   ;   155,23 ;     
07.02.2017 07:05:00   ;   155,10 ;     
31.12.2018 23:59:55   ;   155,05 ;     
22.05.2019 18:00:00   ;   155,27 ;     
03.11.2020 00:00:00   ;   155,16 ;     
01.01.2021 00:00:05   ;   155,08 ;     
