Messstelle:                ;Schützen am Gebirge, Bl  II
HZB-Nummer:                ;313304
HD-Nummer:                 ;
DBMS-Nummer:               ;1002111
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.01.1964
 Geländehöhe:              ;130,01
 Messpunkthöhe:            ;130,51
 Sohllage:                 ;125,19
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  06.01.1964               ;16 38 31                 ;47 51 01
  05.01.1964               ;16 38 23                 ;47 50 58
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.12.1964 07:01:00   ;   127,75 ;     
07.06.1965 07:01:00   ;   128,61 ;     
28.02.1966 07:01:00   ;   128,05 ;     
23.01.1967 07:01:00   ;   128,15 ;     
29.01.1968 07:01:00   ;   127,82 ;     
31.03.1969 07:01:00   ;   128,20 ;     
30.03.1970 07:01:00   ;   128,03 ;     
05.04.1971 07:01:00   ;   127,64 ;     
29.05.1972 07:01:00   ;   127,95 ;     
30.04.1973 07:01:00   ;   127,71 ;     
11.02.1974 07:01:00   ;   127,76 ;     
07.07.1975 07:01:00   ;   127,96 ;     
26.01.1976 07:01:00   ;   128,00 ;     
07.03.1977 07:01:00   ;   128,15 ;     
05.06.1978 07:01:00   ;   127,37 ;     
07.05.1979 07:01:00   ;   127,93 ;     
05.05.1980 07:01:00   ;   127,98 ;     
05.01.1981 07:01:00   ;   127,72 ;     
05.08.1982 07:01:00   ;   128,17 ;     
10.01.1983 07:01:00   ;   127,97 ;     
12.03.1984 07:01:00   ;   127,47 ;     
08.04.1985 07:01:00   ;   127,71 ;     
17.03.1986 07:01:00   ;   127,89 ;     
25.05.1987 07:01:00   ;   127,93 ;     
28.03.1988 07:01:00   ;   127,85 ;     
23.01.1989 07:01:00   ;   127,56 ;     
21.05.1990 07:01:00   ;   127,37 ;     
23.05.1991 07:01:00   ;   127,84 ;     
14.12.1992 07:01:00   ;   128,24 ;     
01.01.1993 00:00:05   ;   127,83 ;     
10.01.1994 07:01:00   ;   127,84 ;     
22.05.1995 07:01:00   ;   128,05 ;     
08.04.1996 07:01:00   ;   128,17 ;     
14.07.1997 08:15:00   ;   127,91 ;     
31.12.1998 23:59:55   ;   127,67 ;     
01.03.1999 07:45:00   ;   127,88 ;     
10.04.2000 07:45:00   ;   127,94 ;     
02.04.2001 07:45:00   ;   127,42 ;     
31.12.2002 23:59:55   ;   127,53 ;     
03.02.2003 07:45:00   ;   127,82 ;     
14.06.2004 07:45:00   ;   127,60 ;     
21.03.2005 07:45:00   ;   127,58 ;     
05.06.2006 08:00:00   ;   127,82 ;     
17.12.2007 08:00:00   ;   127,87 ;     
01.01.2008 00:00:05   ;   127,78 ;     
16.03.2009 08:00:00   ;   128,23 ;     
31.12.2010 23:59:55   ;   128,14 ;     
17.01.2011 07:30:00   ;   128,41 ;     
11.08.2012 08:55:00   ;   127,49 ;     
06.04.2013 08:55:00   ;   128,17 ;     
16.09.2014 01:00:00   ;   128,10 ;     
01.01.2015 13:54:35   ;   128,09 ;     
01.03.2016 06:00:00   ;   127,56 ;     
19.04.2017 18:00:00   ;   127,36 ;     
02.04.2018 11:00:00   ;   127,47 ;     
21.01.2019 17:00:00   ;   127,41 ;     
23.05.2020 23:00:00   ;   127,13 ;     
16.02.2021 05:00:00   ;   127,30 ;     
