Messstelle:                ;Zeltweg, Br  2491
HZB-Nummer:                ;314906
HD-Nummer:                 ;uw2491
DBMS-Nummer:               ;6002238
PorenGW-Gebiet:            ;360 Aichfeld-Murboden
Grundwasserkörper:         ;Aichfeld-Murboden (Judenburg - Knittelfeld) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1968
 Geländehöhe:              ;653,98
 Messpunkthöhe:            ;654,38
 Sohllage:                 ;644,98
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 45 46                 ;47 11 27
  01.01.1968               ;14 45 46                 ;47 11 27
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.06.1968 07:01:00   ;   646,12 ;     
12.06.1969 07:01:00   ;   646,16 ;     
13.08.1970 07:01:00   ;   646,48 ;     
17.05.1971 07:01:00   ;   646,02 ;     
20.07.1972 07:01:00   ;   646,61 ;     
25.06.1973 07:01:00   ;   646,45 ;     
06.06.1974 07:01:00   ;   646,05 ;     
19.05.1975 07:01:00   ;   646,47 ;     
28.06.1976 07:01:00   ;   645,71 ;     
23.05.1977 07:01:00   ;   646,08 ;     
12.06.1978 07:01:00   ;   646,07 ;     
28.05.1979 07:01:00   ;   646,25 ;     
23.06.1980 07:01:00   ;   646,16 ;     
25.05.1981 07:01:00   ;   646,04 ;     
31.05.1982 07:01:00   ;   646,08 ;     
23.05.1983 07:01:00   ;   646,07 ;     
28.05.1984 07:01:00   ;   646,03 ;     
10.06.1985 07:01:00   ;   646,22 ;     
05.05.1986 07:01:00   ;   646,55 ;     
08.06.1987 07:01:00   ;   646,44 ;     
13.06.1988 07:01:00   ;   646,05 ;     
10.07.1989 07:01:00   ;   646,45 ;     
16.07.1990 07:01:00   ;   646,36 ;     
29.07.1991 07:01:00   ;   646,51 ;     
18.05.1992 07:01:00   ;   646,53 ;     
25.10.1993 07:01:00   ;   646,50 ;     
23.05.1994 07:01:00   ;   646,34 ;     
12.06.1995 07:01:00   ;   646,32 ;     
20.05.1996 07:01:00   ;   646,33 ;     
23.06.1997 07:01:00   ;   646,30 ;     
05.10.1998 07:01:00   ;   646,07 ;     
06.09.1999 07:01:00   ;   646,45 ;     
01.05.2000 07:01:00   ;   646,42 ;     
14.05.2001 07:01:00   ;   646,34 ;     
19.08.2002 07:01:00   ;   646,14 ;     
26.05.2003 07:01:00   ;   645,83 ;     
28.06.2004 07:01:00   ;   646,27 ;     
10.10.2005 07:01:00   ;   646,47 ;     
22.05.2006 07:01:00   ;   646,35 ;     
16.07.2007 07:01:00   ;   646,12 ;     
26.05.2008 07:01:00   ;   646,04 ;     
18.05.2009 07:01:00   ;   646,30 ;     
10.05.2010 07:01:00   ;   646,04 ;     
27.06.2011 07:01:00   ;   645,96 ;     
23.07.2012 07:01:00   ;   646,56 ;     
06.05.2013 07:01:00   ;   646,52 ;     
15.09.2014 07:01:00   ;   646,37 ;     
25.05.2015 07:01:00   ;   646,03 ;     
15.08.2016 07:01:00   ;   646,14 ;     
14.08.2017 07:01:00   ;   646,25 ;     
07.05.2018 07:01:00   ;   646,21 ;     
10.06.2019 07:01:00   ;   646,14 ;     
14.09.2020 07:01:00   ;   645,84 ;     
14.06.2021 07:01:00   ;   645,96 ;     
