Messstelle:                ;Stollhofen, Br
HZB-Nummer:                ;315630
HD-Nummer:                 ;
DBMS-Nummer:               ;3002580
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.12.2019
 Geländehöhe:              ;190,94
 Messpunkthöhe:            ;191,34
 Sohllage:                 ;186,74
 T-Messtiefe u.GOK:        ;4,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 45 40                 ;48 21 09
  04.06.1968               ;15 45 44                 ;48 21 09
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.03.1969 07:01:00   ;   188,88 ;     
23.11.1970 07:01:00   ;   189,08 ;     
29.03.1971 07:01:00   ;   188,95 ;     
17.04.1972 07:01:00   ;   189,13 ;     
07.05.1973 07:01:00   ;   188,98 ;     
21.01.1974 07:01:00   ;   188,99 ;     
02.07.1975 07:01:00   ;   189,18 ;     
26.01.1976 07:01:00   ;   188,82 ;     
14.02.1977 07:01:00   ;   189,03 ;     
02.01.1978 07:01:00   ;   188,59 ;     
09.04.1979 07:01:00   ;   188,76 ;     
05.05.1980 07:01:00   ;   188,89 ;     
07.12.1981 07:01:00   ;   188,71 ;     
04.01.1982 07:01:00   ;   188,83 ;     
31.01.1983 07:01:00   ;   188,62 ;     
21.05.1984 07:01:00   ;   188,54 ;     
23.12.1985 07:01:00   ;   188,86 ;     
20.01.1986 07:01:00   ;   188,93 ;     
25.05.1987 07:01:00   ;   188,95 ;     
11.04.1988 07:01:00   ;   188,84 ;     
19.06.1989 07:01:00   ;   189,06 ;     
30.04.1990 07:01:00   ;   188,73 ;     
05.08.1991 07:01:00   ;   189,13 ;     
25.03.1992 07:01:00   ;   188,79 ;     
22.03.1993 07:01:00   ;   188,74 ;     
18.04.1994 07:01:00   ;   189,11 ;     
18.04.1995 07:01:00   ;   188,73 ;     
13.05.1996 07:01:00   ;   189,03 ;     
21.07.1997 07:01:00   ;   189,05 ;     
23.03.1998 07:01:00   ;   188,73 ;     
12.07.1999 07:01:00   ;   188,88 ;     
03.04.2000 07:01:00   ;   188,81 ;     
23.04.2001 07:01:00   ;   188,63 ;     
19.08.2002 07:01:00   ;   188,95 ;     
03.02.2003 07:01:00   ;   188,89 ;     
29.03.2004 07:01:00   ;   188,83 ;     
22.08.2005 07:01:00   ;   189,33 ;     
02.05.2006 07:01:00   ;   189,01 ;     
29.10.2007 07:01:00   ;   189,06 ;     
28.07.2008 07:01:00   ;   188,83 ;     
29.06.2009 07:01:00   ;   189,68 ;     
14.06.2010 07:01:00   ;   189,41 ;     
17.01.2011 07:01:00   ;   188,74 ;     
05.03.2012 07:01:00   ;   188,63 ;     
04.02.2013 11:20:00   ;   188,83 ;     
19.05.2014 07:01:00   ;   188,93 ;     
25.05.2015 07:01:00   ;   188,73 ;     
20.06.2016 07:01:00   ;   188,73 ;     
01.05.2017 07:01:00   ;   188,68 ;     
29.01.2018 07:01:00   ;   188,64 ;     
13.05.2019 07:01:00   ;   188,73 ;     
21.06.2020 16:00:00   ;   189,17 ;     
18.07.2021 18:00:00   ;   189,34 ;     
