Messstelle:                ;Moosbrunn-M I, Bl 45
HZB-Nummer:                ;317412
HD-Nummer:                 ;
DBMS-Nummer:               ;11002062
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.02.2015
 Geländehöhe:              ;186,11
 Messpunkthöhe:            ;187,07
 Sohllage:                 ;180,12
 T-Messtiefe u.GOK:        ;4,04
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  16.04.1962               ;16 27 08                 ;48 00 00
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.02.1970 07:01:00   ;   185,98 ;     
29.03.1971 07:01:00   ;   185,67 ;     
03.08.1972 07:01:00   ;   186,13 ;     
26.04.1973 07:01:00   ;   185,67 ;     
21.01.1974 07:01:00   ;   185,87 ;     
03.07.1975 07:01:00   ;   186,03 ;     
12.01.1976 07:01:00   ;   185,78 ;     
07.03.1977 07:01:00   ;   185,93 ;     
27.02.1978 07:01:00   ;   185,71 ;     
09.04.1979 07:01:00   ;   185,75 ;     
05.05.1980 07:01:00   ;   185,78 ;     
05.01.1981 07:01:00   ;   185,69 ;     
01.02.1982 07:01:00   ;   185,92 ;     
06.01.1983 07:01:00   ;   185,85 ;     
04.10.1984 07:01:00   ;   185,68 ;     
19.12.1985 07:01:00   ;   186,00 ;     
13.03.1986 07:01:00   ;   186,04 ;     
23.02.1987 07:01:00   ;   186,02 ;     
28.03.1988 07:01:00   ;   185,87 ;     
07.09.1989 07:01:00   ;   185,80 ;     
26.04.1990 07:01:00   ;   185,59 ;     
20.05.1991 07:01:00   ;   185,97 ;     
30.03.1992 07:01:00   ;   185,84 ;     
31.12.1993 23:59:55   ;   185,73 ;     
06.01.1994 07:01:00   ;   185,84 ;     
21.12.1995 07:01:00   ;   185,83 ;     
13.05.1996 07:01:00   ;   186,13 ;     
10.07.1997 07:01:00   ;   186,05 ;     
19.03.1998 07:01:00   ;   185,79 ;     
22.02.1999 07:01:00   ;   185,79 ;     
03.04.2000 07:01:00   ;   185,84 ;     
07.12.2001 16:15:00   ;   185,76 ;     
23.03.2002 09:00:00   ;   186,01 ;     
30.01.2003 07:01:00   ;   185,95 ;     
25.03.2004 03:15:00   ;   185,91 ;     
20.03.2005 20:30:00   ;   185,81 ;     
01.05.2006 10:06:10   ;   185,84 ;     
12.12.2007 14:10:00   ;   185,97 ;     
24.07.2008 02:27:00   ;   185,98 ;     
25.06.2009 16:44:00   ;   186,26 ;     
26.09.2010 08:22:00   ;   185,97 ;     
15.01.2011 09:10:00   ;   185,80 ;     
24.12.2012 07:01:00   ;   185,69 ;     
28.02.2013 07:01:00   ;   185,92 ;     
14.09.2014 03:00:00   ;   186,14 ;     
11.01.2015 11:15:00   ;   185,77 ;     
28.11.2016 07:01:00   ;   185,67 ;     
07.02.2017 00:00:00   ;   185,73 ;     
24.12.2018 13:00:00   ;   185,90 ;     
16.05.2019 08:00:00   ;   185,77 ;     
17.10.2020 07:00:00   ;   185,81 ;     
29.01.2021 19:00:00   ;   185,80 ;     
