Messstelle:                ;Moosbrunn-M II, Bl 45
HZB-Nummer:                ;317552
HD-Nummer:                 ;
DBMS-Nummer:               ;11002076
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.02.2015
 Geländehöhe:              ;186,62
 Messpunkthöhe:            ;187,37
 Sohllage:                 ;180,62
 T-Messtiefe u.GOK:        ;4,25
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  16.04.1962               ;16 26 11                 ;48 00 23
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2004 bis -> FG05 durch Entnahme zeitweise beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 durch Pumpbetrieb vom 28. 10. - 4. 11. beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.02.1970 07:01:00   ;   186,49 ;     
29.03.1971 07:01:00   ;   186,25 ;     
03.08.1972 07:01:00   ;   186,42 ;     
16.04.1973 07:01:00   ;   186,37 ;     
21.01.1974 07:01:00   ;   186,50 ;     
03.07.1975 07:01:00   ;   186,54 ;     
12.01.1976 07:01:00   ;   186,47 ;     
07.03.1977 07:01:00   ;   186,67 ;     
06.03.1978 07:01:00   ;   186,40 ;     
19.02.1979 07:01:00   ;   186,58 ;     
01.05.1980 07:01:00   ;   186,53 ;     
09.02.1981 07:01:00   ;   186,38 ;     
01.02.1982 07:01:00   ;   186,48 ;     
06.01.1983 07:01:00   ;   186,53 ;     
04.10.1984 07:01:00   ;   186,45 ;     
12.12.1985 07:01:00   ;   186,49 ;     
13.03.1986 07:01:00   ;   186,59 ;     
12.02.1987 07:01:00   ;   186,68 ;     
28.03.1988 07:01:00   ;   186,58 ;     
09.01.1989 07:01:00   ;   186,43 ;     
26.04.1990 07:01:00   ;   186,37 ;     
20.05.1991 07:01:00   ;   186,62 ;     
23.03.1992 07:01:00   ;   186,44 ;     
20.12.1993 07:01:00   ;   186,43 ;     
03.01.1994 07:01:00   ;   186,46 ;     
25.12.1995 07:01:00   ;   186,47 ;     
13.05.1996 07:01:00   ;   186,53 ;     
10.07.1997 07:01:00   ;   186,62 ;     
19.03.1998 07:01:00   ;   186,45 ;     
08.03.1999 07:01:00   ;   186,44 ;     
30.03.2000 07:01:00   ;   186,47 ;     
26.03.2001 07:01:00   ;   186,41 ;     
21.03.2002 07:01:00   ;   186,50 ;     
01.01.2003 00:00:05   ;   186,47 ;     
25.03.2004 07:01:00   ;   186,49 ;     
13.03.2005 14:00:00   ;   186,47 ;     
01.05.2006 03:00:00   ;   186,51 ;     
07.09.2007 11:35:00   ;   186,54 ;     
27.06.2008 04:41:00   ;   186,60 ;     
29.06.2009 21:39:00   ;   186,78 ;     
15.08.2010 04:15:00   ;   186,53 ;     
13.10.2011 07:15:00   ;   186,53 ;     
24.12.2012 07:01:00   ;   186,45 ;     
28.02.2013 07:01:00   ;   186,51 ;     
08.12.2014 07:01:00   ;   186,57 ;     
23.05.2015 17:00:00   ;   186,50 ;     
12.11.2016 13:00:00   ;   186,47 ;     
06.02.2017 21:00:00   ;   186,49 ;     
24.12.2018 09:00:00   ;   186,53 ;     
16.05.2019 02:00:00   ;   186,50 ;     
16.10.2020 11:00:00   ;   186,49 ;     
29.01.2021 12:00:00   ;   186,49 ;     
