Messstelle:                ;Bierbaum am Kleebigl, Br 207
HZB-Nummer:                ;317644
HD-Nummer:                 ;
DBMS-Nummer:               ;3002618
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.06.1974
 Geländehöhe:              ;182,29
 Messpunkthöhe:            ;182,89
 Sohllage:                 ;174,84
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 56 17                 ;48 23 19
  01.06.1974               ;15 56 15                 ;48 23 22
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.08.1975 07:01:00   ;   178,95 ;     
01.01.1976 00:00:05   ;   178,86 ;     
16.05.1977 07:01:00   ;   179,26 ;     
23.01.1978 07:01:00   ;   178,83 ;     
31.12.1979 07:01:00   ;   178,69 ;     
09.06.1980 07:01:00   ;   178,99 ;     
02.02.1981 07:01:00   ;   178,88 ;     
03.05.1982 07:01:00   ;   178,99 ;     
21.02.1983 07:01:00   ;   178,69 ;     
04.06.1984 07:01:00   ;   178,46 ;     
31.12.1985 23:59:55   ;   178,66 ;     
28.04.1986 07:01:00   ;   178,91 ;     
06.07.1987 07:01:00   ;   179,13 ;     
02.05.1988 07:01:00   ;   179,27 ;     
17.07.1989 07:01:00   ;   178,95 ;     
11.06.1990 07:01:00   ;   178,81 ;     
16.09.1991 07:01:00   ;   178,78 ;     
20.01.1992 07:01:00   ;   178,70 ;     
13.04.1993 07:01:00   ;   178,54 ;     
13.06.1994 07:01:00   ;   178,60 ;     
31.12.1995 23:59:55   ;   178,40 ;     
01.07.1996 07:01:00   ;   178,85 ;     
25.08.1997 07:01:00   ;   179,07 ;     
19.01.1998 07:01:00   ;   179,06 ;     
17.08.1999 07:01:00   ;   179,10 ;     
08.05.2000 07:01:00   ;   179,15 ;     
23.04.2001 07:01:00   ;   178,78 ;     
19.08.2002 07:01:00   ;   181,24 ;     
03.02.2003 07:01:00   ;   180,19 ;     
19.04.2004 07:01:00   ;   179,39 ;     
05.09.2005 07:01:00   ;   179,16 ;     
05.06.2006 07:01:00   ;   179,66 ;     
31.12.2007 07:01:00   ;   179,26 ;     
12.05.2008 07:01:00   ;   179,27 ;     
20.07.2009 07:01:00   ;   179,81 ;     
09.08.2010 07:01:00   ;   180,38 ;     
03.01.2011 07:01:00   ;   179,28 ;     
06.02.2012 07:01:00   ;   178,95 ;     
24.06.2013 07:01:00   ;   179,49 ;     
22.12.2014 07:01:00   ;   179,22 ;     
01.01.2015 00:00:05   ;   179,22 ;     
30.05.2016 07:01:00   ;   179,04 ;     
20.03.2017 07:01:00   ;   178,94 ;     
03.04.2018 07:01:00   ;   178,78 ;     
03.06.2019 07:01:00   ;   178,82 ;     
28.12.2020 07:01:00   ;   178,87 ;     
30.08.2021 07:01:00   ;   178,98 ;     
