Messstelle:                ;St. Michael i. Obstmk, Br  2695
HZB-Nummer:                ;318584
HD-Nummer:                 ;uw2695
DBMS-Nummer:               ;6002343
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;03.01.2013
 Geländehöhe:              ;579,60
 Messpunkthöhe:            ;580,20
 Sohllage:                 ;563,80
 T-Messtiefe u.GOK:        ;15,40
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 01 29                 ;47 20 08
  01.11.1966               ;15 01 29                 ;47 20 08
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
17.07.1972 07:01:00   ;   566,72 ;     
06.06.1974 07:01:00   ;   565,57 ;     
22.05.1975 07:01:00   ;   566,57 ;     
10.05.1976 07:01:00   ;   565,48 ;     
05.05.1977 07:01:00   ;   565,90 ;     
17.07.1978 07:01:00   ;   565,70 ;     
05.07.1979 07:01:00   ;   565,79 ;     
16.06.1980 07:01:00   ;   565,77 ;     
28.05.1981 07:01:00   ;   565,78 ;     
31.05.1982 07:01:00   ;   565,76 ;     
18.04.1983 07:01:00   ;   565,84 ;     
21.05.1984 07:01:00   ;   565,60 ;     
13.05.1985 07:01:00   ;   565,73 ;     
05.05.1986 07:01:00   ;   566,20 ;     
16.06.1987 07:01:00   ;   565,99 ;     
06.06.1988 07:01:00   ;   565,57 ;     
10.07.1989 07:01:00   ;   566,08 ;     
16.07.1990 07:01:00   ;   565,71 ;     
17.06.1991 07:01:00   ;   565,71 ;     
18.05.1992 07:01:00   ;   566,13 ;     
25.10.1993 07:01:00   ;   566,24 ;     
02.05.1994 07:01:00   ;   565,57 ;     
08.05.1995 07:01:00   ;   565,56 ;     
07.10.1996 07:01:00   ;   565,80 ;     
23.06.1997 07:01:00   ;   565,85 ;     
14.09.1998 07:01:00   ;   565,60 ;     
03.09.1999 07:01:00   ;   566,03 ;     
01.05.2000 07:01:00   ;   566,08 ;     
07.05.2001 07:01:00   ;   565,72 ;     
12.08.2002 07:01:00   ;   565,56 ;     
06.10.2003 07:01:00   ;   565,28 ;     
21.06.2004 07:01:00   ;   565,99 ;     
22.08.2005 07:01:00   ;   566,00 ;     
22.05.2006 07:01:00   ;   565,91 ;     
10.09.2007 07:01:00   ;   565,66 ;     
26.05.2008 07:01:00   ;   565,62 ;     
18.05.2009 07:01:00   ;   565,93 ;     
21.06.2010 07:01:00   ;   565,69 ;     
20.06.2011 07:01:00   ;   565,75 ;     
23.07.2012 07:01:00   ;   566,72 ;     
28.04.2013 12:00:00   ;   566,16 ;     
14.09.2014 12:00:00   ;   566,17 ;     
24.05.2015 12:00:00   ;   565,68 ;     
11.08.2016 12:00:00   ;   565,98 ;     
07.08.2017 12:00:00   ;   566,38 ;     
27.04.2018 00:00:00   ;   565,95 ;     
19.11.2019 03:00:00   ;   566,30 ;     
08.09.2020 00:00:00   ;   565,81 ;     
07.06.2021 12:00:00   ;   565,69 ;     
