Messstelle:                ;Parndorf, Bl 36
HZB-Nummer:                ;319434
HD-Nummer:                 ;
DBMS-Nummer:               ;1002145
PorenGW-Gebiet:            ;309 Parndorfer Platte
Grundwasserkörper:         ;Gruppe Hügelland Rabnitz [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.05.2018
 Geländehöhe:              ;168,50
 Messpunkthöhe:            ;169,50
 Sohllage:                 ;161,28
 T-Messtiefe u.GOK:        ;5,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1975               ;16 51 04                 ;47 59 45
  31.12.1974               ;16 51 00                 ;47 59 43
Exportzeitreihe:           ;FUGWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Werteinformation:          ;aus 20070101-21TAGESMINIMA-20100826
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.07.1975 07:01:00   ;   167,13 ;     
19.01.1976 07:01:00   ;   167,31 ;     
14.02.1977 07:01:00   ;   167,52 ;     
29.05.1978 07:01:00   ;   166,55 ;     
07.05.1979 07:01:00   ;   167,03 ;     
01.09.1980 07:01:00   ;   167,45 ;     
05.01.1981 07:01:00   ;   167,09 ;     
04.01.1982 07:01:00   ;   167,22 ;     
07.03.1983 07:01:00   ;   167,29 ;     
19.03.1984 07:01:00   ;   166,78 ;     
25.03.1985 07:01:00   ;   167,21 ;     
17.03.1986 07:01:00   ;   167,75 ;     
16.02.1987 07:01:00   ;   167,30 ;     
07.03.1988 07:01:00   ;   167,26 ;     
16.01.1989 07:01:00   ;   166,44 ;     
30.04.1990 07:01:00   ;   166,32 ;     
25.11.1991 07:01:00   ;   167,19 ;     
01.01.1992 00:00:05   ;   167,10 ;     
15.03.1993 07:01:00   ;   167,12 ;     
18.04.1994 07:01:00   ;   167,25 ;     
31.12.1995 23:59:55   ;   166,90 ;     
15.04.1996 07:01:00   ;   167,28 ;     
24.02.1997 08:00:00   ;   166,90 ;     
09.11.1998 08:00:00   ;   166,68 ;     
24.02.1999 09:15:00   ;   166,74 ;     
03.04.2000 08:00:00   ;   166,97 ;     
02.04.2001 08:00:00   ;   166,59 ;     
31.12.2002 23:59:55   ;   166,77 ;     
03.02.2003 08:00:00   ;   166,86 ;     
29.03.2004 08:00:00   ;   167,07 ;     
14.03.2005 08:00:00   ;   166,98 ;     
19.06.2006 08:00:00   ;   167,18 ;     
16.11.2007 08:00:00   ;   167,34 ;     
07.11.2008 08:00:00   ;   167,08 ;     
13.11.2009 08:00:00   ;   168,03 ;     
22.01.2010 13:00:00   ;   168,03 ;     
14.01.2011 13:00:00   ;   167,72 ;     
04.05.2012 13:00:00   ;   166,62 ;     
01.03.2013 13:00:00   ;   167,35 ;     
12.12.2014 13:00:00   ;   167,18 ;     
06.03.2015 13:00:00   ;   167,14 ;     
26.02.2016 13:00:00   ;   167,16 ;     
03.02.2017 13:00:00   ;   167,15 ;     
23.03.2018 13:00:00   ;   166,97 ;     
04.02.2019 20:00:00   ;   167,19 ;     
15.10.2020 05:00:00   ;   167,18 ;     
31.01.2021 18:00:00   ;   167,08 ;     
