Messstelle:                ;Ludesch, Bl 06.36.09
HZB-Nummer:                ;321539
HD-Nummer:                 ;06.36.09
DBMS-Nummer:               ;8002043
PorenGW-Gebiet:            ;003 Walgau
Grundwasserkörper:         ;Walgau [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;20.04.2011
 Geländehöhe:              ;533,21
 Messpunkthöhe:            ;533,83
 Sohllage:                 ;513,33
 T-Messtiefe u.GOK:        ;17,38
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1977               ;09 45 40                 ;47 10 58
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2002 mit Transfer-Function-Modell interpoliert
  2003 mit Transfer-Function-Modell interpoliert
  2004 bis 31.3. mit Transfer-Function-Modell interpoliert
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.08.1977 07:01:00   ;   520,00 ;     
21.07.1978 07:01:00   ;   520,44 ;     
21.06.1979 07:01:00   ;   520,45 ;     
14.07.1980 07:01:00   ;   520,57 ;     
27.07.1981 07:01:00   ;   520,85 ;     
28.06.1982 07:01:00   ;   520,01 ;     
20.06.1983 07:01:00   ;   519,61 ;     
24.09.1984 07:01:00   ;   519,81 ;     
08.08.1985 07:01:00   ;   519,32 ;     
02.06.1986 07:01:00   ;   519,13 ;     
29.06.1987 07:01:00   ;   519,78 ;     
30.05.1988 07:01:00   ;   519,06 ;     
20.11.1989 07:01:00   ;   518,47 ;     
16.07.1990 07:01:00   ;   519,08 ;     
23.12.1991 07:01:00   ;   520,31 ;     
07.12.1992 07:01:00   ;   519,13 ;     
30.08.1993 07:01:00   ;   519,53 ;     
13.06.1994 07:01:00   ;   519,21 ;     
19.06.1995 07:01:00   ;   519,60 ;     
15.07.1996 07:01:00   ;   519,19 ;     
21.07.1997 07:01:00   ;   519,66 ;     
23.11.1998 07:01:00   ;   518,68 ;     
24.05.1999 07:01:00   ;   520,83 ;     
27.11.2000 07:01:00   ;   519,07 ;     
25.06.2001 07:01:00   ;   519,78 ;     
18.11.2002 07:30:00   ;   519,68 ;     
06.01.2003 07:30:05   ;   518,95 ;     
14.06.2004 07:01:00   ;   519,40 ;     
29.08.2005 07:01:00   ;   520,30 ;     
29.05.2006 07:01:00   ;   520,42 ;     
16.07.2007 07:01:00   ;   519,69 ;     
01.06.2008 07:01:00   ;   519,85 ;     
27.07.2009 07:01:00   ;   519,74 ;     
09.08.2010 07:01:00   ;   520,70 ;     
17.10.2011 07:01:00   ;   519,58 ;     
18.06.2012 07:01:00   ;   520,20 ;     
02.06.2013 07:01:00   ;   521,30 ;     
03.08.2014 07:01:00   ;   519,68 ;     
24.06.2015 18:00:00   ;   519,64 ;     
18.06.2016 01:00:00   ;   521,38 ;     
11.03.2017 12:00:00   ;   520,20 ;     
24.01.2018 14:00:00   ;   519,88 ;     
23.05.2019 19:00:00   ;   520,51 ;     
12.06.2020 07:00:00   ;   519,73 ;     
09.02.2021 03:00:00   ;   520,09 ;     
