Messstelle:                ;Mühldorf, Br  5232
HZB-Nummer:                ;325878
HD-Nummer:                 ;uw5232
DBMS-Nummer:               ;6002492
PorenGW-Gebiet:            ;331 Raabtal
Grundwasserkörper:         ;Raabtal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.10.1968
 Geländehöhe:              ;275,40
 Messpunkthöhe:            ;275,80
 Sohllage:                 ;271,20
 T-Messtiefe u.GOK:        ;4,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 55 09                 ;46 57 11
  09.10.1968               ;15 55 09                 ;46 57 11
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1975 07:01:00   ;   275,40 ;     
13.10.1980 07:01:00   ;   275,31 ;     
18.06.1981 07:01:00   ;   275,06 ;     
20.12.1982 07:01:00   ;   275,09 ;     
17.10.1983 07:01:00   ;   274,56 ;     
05.03.1984 07:01:00   ;   275,00 ;     
18.03.1985 07:01:00   ;   274,74 ;     
17.03.1986 07:01:00   ;   275,14 ;     
23.02.1987 07:01:00   ;   275,22 ;     
15.02.1988 07:01:00   ;   274,28 ;     
28.08.1989 07:01:00   ;   275,28 ;     
05.11.1990 07:01:00   ;   274,69 ;     
25.11.1991 07:01:00   ;   275,18 ;     
22.06.1992 07:01:00   ;   274,57 ;     
20.12.1993 07:01:00   ;   274,14 ;     
14.11.1994 07:01:00   ;   274,46 ;     
06.03.1995 07:01:00   ;   274,93 ;     
08.04.1996 07:01:00   ;   274,83 ;     
15.09.1997 07:01:00   ;   274,51 ;     
07.09.1998 07:01:00   ;   274,86 ;     
24.05.1999 07:01:00   ;   274,37 ;     
25.12.2000 07:01:00   ;   273,77 ;     
29.01.2001 07:01:00   ;   273,79 ;     
02.12.2002 07:01:00   ;   274,22 ;     
06.01.2003 07:01:00   ;   273,34 ;     
28.06.2004 07:01:00   ;   274,03 ;     
16.08.2005 07:01:00   ;   273,93 ;     
05.06.2006 07:01:00   ;   273,96 ;     
13.12.2007 03:00:00   ;   274,26 ;     
03.06.2008 03:00:00   ;   274,12 ;     
25.06.2009 15:00:00   ;   275,43 ;     
19.09.2010 03:00:00   ;   274,82 ;     
20.06.2011 03:00:00   ;   274,15 ;     
06.11.2012 03:00:00   ;   274,95 ;     
27.02.2013 03:00:00   ;   274,98 ;     
13.09.2014 05:00:00   ;   275,09 ;     
23.05.2015 15:00:00   ;   275,00 ;     
19.02.2016 12:00:00   ;   274,92 ;     
20.09.2017 03:00:00   ;   274,40 ;     
15.05.2018 18:00:00   ;   274,72 ;     
23.12.2019 03:00:00   ;   274,54 ;     
23.08.2020 03:00:00   ;   274,96 ;     
07.01.2021 00:00:00   ;   274,24 ;     
