Messstelle:                ;Hörbranz, Bl 40.1.05
HZB-Nummer:                ;327718
HD-Nummer:                 ;40.1.05
DBMS-Nummer:               ;8002156
PorenGW-Gebiet:            ;007 Leiblachtal
Grundwasserkörper:         ;Gruppe Molasse und nördliche Flyschzone [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.03.2015
 Geländehöhe:              ;437,17
 Messpunkthöhe:            ;437,90
 Sohllage:                 ;405,40
 T-Messtiefe u.GOK:        ;31,27
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  04.11.2004               ;09 45 19                 ;47 32 46
  01.01.1983               ;09 45 19                 ;47 32 46
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
30.05.1983 07:01:00   ;   410,61 ;     
15.10.1984 07:01:00   ;   410,75 ;     
20.05.1985 07:01:00   ;   410,05 ;     
23.06.1986 07:01:00   ;   410,30 ;     
10.08.1987 07:01:00   ;   410,85 ;     
02.05.1988 07:01:00   ;   410,32 ;     
02.01.1989 07:01:00   ;   409,82 ;     
13.08.1990 07:01:00   ;   408,80 ;     
29.07.1991 07:01:00   ;   410,62 ;     
21.12.1992 07:01:00   ;   409,94 ;     
01.11.1993 07:01:00   ;   410,30 ;     
07.02.1994 07:01:00   ;   409,78 ;     
26.06.1995 07:01:00   ;   411,05 ;     
23.12.1996 07:01:00   ;   409,73 ;     
01.01.1997 00:00:05   ;   409,69 ;     
30.11.1998 07:01:00   ;   409,59 ;     
31.05.1999 07:01:00   ;   410,95 ;     
20.03.2000 07:01:00   ;   410,50 ;     
30.04.2001 07:01:00   ;   410,58 ;     
18.11.2002 07:01:00   ;   411,31 ;     
06.01.2003 07:01:00   ;   410,88 ;     
23.02.2004 07:01:00   ;   409,10 ;     
19.09.2005 07:01:00   ;   409,30 ;     
16.10.2006 07:01:00   ;   409,56 ;     
24.09.2007 07:01:00   ;   409,49 ;     
19.05.2008 07:01:00   ;   409,05 ;     
13.04.2009 07:01:00   ;   409,21 ;     
16.08.2010 07:01:00   ;   410,75 ;     
24.01.2011 07:01:00   ;   410,11 ;     
31.12.2012 13:00:00   ;   410,25 ;     
19.06.2013 20:00:00   ;   410,91 ;     
17.08.2014 06:00:00   ;   409,18 ;     
31.05.2015 12:00:00   ;   409,87 ;     
02.07.2016 04:00:00   ;   410,13 ;     
31.12.2017 13:00:00   ;   409,90 ;     
03.02.2018 00:00:00   ;   410,25 ;     
27.10.2019 00:00:00   ;   409,44 ;     
03.11.2020 01:00:00   ;   409,00 ;     
11.02.2021 15:00:00   ;   409,70 ;     
