Messstelle:                ;Schlitters, Bl 1
HZB-Nummer:                ;330639
HD-Nummer:                 ;
DBMS-Nummer:               ;7002042
Fremdnummer:               ;GW70925010
PorenGW-Gebiet:            ;022 Zillertal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.01.2018
 Geländehöhe:              ;522,38
 Messpunkthöhe:            ;523,23
 Sohllage:                 ;509,33
 T-Messtiefe u.GOK:        ;9,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.08.1985               ;11 49 52                 ;47 23 28
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.08.1985 07:01:00   ;   522,04 ;     
02.06.1986 07:01:00   ;   521,00 ;     
03.03.1987 07:01:00   ;   521,54 ;     
25.03.1988 07:01:00   ;   521,48 ;     
13.07.1989 07:01:00   ;   521,23 ;     
09.07.1990 07:01:00   ;   521,23 ;     
03.08.1991 07:01:00   ;   521,08 ;     
03.12.1992 07:01:00   ;   521,04 ;     
02.11.1993 07:01:00   ;   521,42 ;     
14.04.1994 07:01:00   ;   521,04 ;     
26.06.1995 07:01:00   ;   521,14 ;     
15.07.1996 07:01:00   ;   521,05 ;     
07.07.1997 07:01:00   ;   521,22 ;     
13.07.1998 07:01:00   ;   520,99 ;     
24.05.1999 07:01:00   ;   521,48 ;     
20.03.2000 08:00:00   ;   521,35 ;     
10.09.2001 07:01:00   ;   521,18 ;     
12.08.2002 08:10:00   ;   521,26 ;     
13.10.2003 08:05:00   ;   520,93 ;     
12.07.2004 06:35:00   ;   521,18 ;     
24.08.2005 07:05:00   ;   521,36 ;     
07.08.2006 07:05:00   ;   521,02 ;     
10.09.2007 07:00:00   ;   521,34 ;     
21.07.2008 08:05:00   ;   521,31 ;     
20.07.2009 07:00:00   ;   521,22 ;     
06.09.2010 07:10:00   ;   521,24 ;     
16.08.2011 07:10:00   ;   521,10 ;     
06.08.2012 08:05:00   ;   521,28 ;     
03.06.2013 08:00:00   ;   521,53 ;     
24.10.2014 07:00:00   ;   521,48 ;     
01.06.2015 08:00:00   ;   520,98 ;     
20.06.2016 08:00:00   ;   521,25 ;     
03.09.2017 08:00:00   ;   521,42 ;     
23.01.2018 16:00:00   ;   521,10 ;     
16.03.2019 00:00:00   ;   521,40 ;     
07.09.2020 05:00:00   ;   521,14 ;     
08.08.2021 23:00:00   ;   521,27 ;     
