Messstelle:                ;Mauer bei Amstetten, Bl 364
HZB-Nummer:                ;331496
HD-Nummer:                 ;
DBMS-Nummer:               ;3002839
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.04.2022
 Geländehöhe:              ;309,32
 Messpunkthöhe:            ;310,27
 Sohllage:                 ;286,37
 T-Messtiefe u.GOK:        ;20,05
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.04.2022               ;14 47 27                 ;48 04 05
  01.01.2019               ;14 47 26                 ;48 04 01
  01.01.2009               ;14 47 26                 ;48 04 01
  17.07.1975               ;14 47 27                 ;48 04 02
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2001 HG05 durch Baustelle teilweise beeinflusst
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
11.04.1988 07:01:00   ;   294,90 ;     
23.01.1989 07:01:00   ;   293,62 ;     
26.03.1990 07:01:00   ;   292,60 ;     
05.08.1991 07:01:00   ;   293,66 ;     
31.12.1992 23:59:55   ;   293,47 ;     
19.04.1993 07:01:00   ;   293,80 ;     
09.05.1994 07:01:00   ;   294,17 ;     
01.05.1995 07:01:00   ;   293,39 ;     
10.06.1996 07:01:00   ;   294,58 ;     
01.01.1997 00:00:05   ;   293,51 ;     
31.12.1998 23:59:55   ;   293,11 ;     
15.03.1999 07:01:00   ;   294,27 ;     
03.04.2000 07:01:00   ;   293,93 ;     
10.02.2003 07:01:00   ;   294,75 ;     
19.04.2004 07:01:00   ;   293,23 ;     
05.09.2005 07:01:00   ;   294,82 ;     
18.04.2006 07:01:00   ;   294,15 ;     
24.12.2007 07:01:00   ;   293,62 ;     
01.01.2008 00:00:05   ;   292,69 ;     
09.07.2009 05:00:00   ;   295,35 ;     
13.08.2010 14:45:00   ;   292,82 ;     
14.02.2011 15:45:00   ;   291,85 ;     
23.03.2012 20:00:00   ;   292,07 ;     
04.07.2013 03:00:00   ;   294,73 ;     
05.11.2014 02:00:00   ;   292,71 ;     
03.02.2015 18:00:00   ;   292,74 ;     
27.06.2016 10:00:00   ;   293,29 ;     
10.04.2017 11:00:00   ;   292,88 ;     
09.02.2018 14:00:00   ;   293,37 ;     
10.02.2019 17:00:00   ;   292,76 ;     
11.09.2020 12:00:00   ;   292,68 ;     
05.09.2021 15:00:00   ;   293,98 ;     
