Messstelle:                ;Langenzersdorf, Blt 397
HZB-Nummer:                ;331777
HD-Nummer:                 ;
DBMS-Nummer:               ;3002867
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.09.1989
 Geländehöhe:              ;164,37
 Messpunkthöhe:            ;165,42
 Sohllage:                 ;152,01
 T-Messtiefe u.GOK:        ;7,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 21 58                 ;48 17 22
  25.09.1989               ;16 21 59                 ;48 17 22
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
09.10.1995 07:01:00   ;   158,56 ;     
19.05.1996 07:01:00   ;   159,12 ;     
03.08.1997 07:01:00   ;   158,97 ;     
08.02.1998 07:01:00   ;   158,69 ;     
05.09.1999 07:01:00   ;   158,84 ;     
02.01.2000 07:01:00   ;   158,62 ;     
22.07.2001 07:01:00   ;   158,62 ;     
01.12.2002 07:01:00   ;   158,97 ;     
09.02.2003 07:01:00   ;   158,88 ;     
18.07.2004 07:01:00   ;   158,84 ;     
28.08.2005 07:01:00   ;   158,67 ;     
25.08.2006 07:01:00   ;   158,97 ;     
14.09.2007 07:01:00   ;   158,73 ;     
08.08.2008 07:01:00   ;   158,79 ;     
14.08.2009 07:01:00   ;   159,19 ;     
25.06.2010 07:01:00   ;   159,29 ;     
29.06.2011 07:01:00   ;   158,79 ;     
03.08.2012 07:01:00   ;   158,64 ;     
28.06.2013 07:01:00   ;   159,11 ;     
19.09.2014 07:01:00   ;   158,80 ;     
21.08.2015 07:01:00   ;   158,61 ;     
12.08.2016 07:01:00   ;   158,79 ;     
22.09.2017 07:01:00   ;   158,58 ;     
07.09.2018 07:01:00   ;   158,67 ;     
16.08.2019 07:01:00   ;   158,81 ;     
31.07.2020 07:01:00   ;   158,72 ;     
27.08.2021 07:01:00   ;   158,91 ;     
