Messstelle:                ;Hainsdorf, Blt 38736
HZB-Nummer:                ;332551
HD-Nummer:                 ;uw38736
DBMS-Nummer:               ;6002658
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.10.2003
 Geländehöhe:              ;243,50
 Messpunkthöhe:            ;244,50
 Sohllage:                 ;228,60
 T-Messtiefe u.GOK:        ;7,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 43 41                 ;46 43 27
  01.01.1986               ;15 43 43                 ;46 43 38
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.03.1986 07:01:00   ;   241,18 ;     
19.05.1987 07:01:00   ;   240,51 ;     
22.02.1988 07:01:00   ;   240,23 ;     
09.10.1989 07:01:00   ;   240,28 ;     
24.12.1990 07:01:00   ;   240,36 ;     
02.12.1991 07:01:00   ;   240,72 ;     
01.01.1992 00:00:05   ;   240,43 ;     
04.01.1993 07:01:00   ;   239,74 ;     
25.04.1994 07:01:00   ;   240,39 ;     
13.03.1995 07:01:00   ;   240,68 ;     
20.05.1996 07:01:00   ;   241,30 ;     
01.01.1997 00:00:05   ;   240,08 ;     
07.12.1998 07:01:00   ;   240,10 ;     
19.07.1999 07:01:00   ;   240,78 ;     
01.01.2000 00:00:05   ;   240,09 ;     
05.02.2001 07:01:00   ;   239,42 ;     
31.12.2002 23:59:55   ;   238,70 ;     
31.03.2003 07:01:00   ;   239,04 ;     
02.08.2004 07:01:00   ;   239,43 ;     
17.10.2005 07:01:00   ;   239,79 ;     
15.05.2006 07:01:00   ;   240,49 ;     
16.04.2007 07:01:00   ;   239,48 ;     
31.12.2008 23:59:55   ;   239,20 ;     
17.08.2009 07:01:00   ;   241,51 ;     
21.12.2010 07:01:00   ;   240,33 ;     
01.01.2011 00:00:05   ;   240,26 ;     
31.12.2012 23:59:55   ;   239,74 ;     
05.04.2013 08:00:00   ;   241,59 ;     
19.09.2014 08:00:00   ;   241,15 ;     
01.01.2015 00:00:05   ;   240,56 ;     
21.03.2016 15:00:00   ;   239,90 ;     
01.01.2017 00:00:05   ;   239,27 ;     
22.05.2018 09:00:00   ;   240,58 ;     
18.07.2019 01:00:00   ;   239,08 ;     
30.12.2020 23:00:00   ;   239,80 ;     
18.02.2021 13:00:00   ;   240,03 ;     
