Messstelle:                ;Wien 22, Bl 22-112
HZB-Nummer:                ;333427
HD-Nummer:                 ;22-112
DBMS-Nummer:               ;9002179
PorenGW-Gebiet:            ;224 Marchfeld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2003
 Geländehöhe:              ;158,69
 Messpunkthöhe:            ;158,57
 Sohllage:                 ;151,52
 T-Messtiefe u.GOK:        ;6,62
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.07.1981               ;16 27 38                 ;48 13 29
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.06.1987 07:01:00   ;   154,38 ;     
20.05.1988 07:01:00   ;   154,18 ;     
27.09.1989 07:01:00   ;   154,08 ;     
01.01.1990 00:00:05   ;   154,03 ;     
30.08.1991 07:01:00   ;   154,04 ;     
26.06.1992 07:01:00   ;   154,01 ;     
15.01.1993 07:01:00   ;   153,72 ;     
22.06.1994 07:01:00   ;   153,76 ;     
30.06.1995 07:01:00   ;   154,08 ;     
24.05.1996 07:01:00   ;   154,24 ;     
18.07.1997 11:11:00   ;   154,25 ;     
20.11.1998 11:11:00   ;   154,14 ;     
27.05.1999 08:00:00   ;   154,17 ;     
13.04.2000 08:25:00   ;   154,18 ;     
20.09.2001 07:45:00   ;   154,04 ;     
24.12.2002 11:11:00   ;   154,26 ;     
30.01.2003 09:00:00   ;   154,29 ;     
11.06.2004 07:00:00   ;   154,30 ;     
25.08.2005 07:25:00   ;   154,15 ;     
08.06.2006 07:20:00   ;   154,17 ;     
13.09.2007 08:00:00   ;   154,29 ;     
01.01.2008 00:00:05   ;   154,25 ;     
09.07.2009 07:30:00   ;   154,39 ;     
10.06.2010 07:05:00   ;   154,44 ;     
20.01.2011 09:40:00   ;   154,29 ;     
05.04.2012 09:40:00   ;   154,14 ;     
27.06.2013 09:00:00   ;   154,31 ;     
18.09.2014 08:15:00   ;   154,39 ;     
15.01.2015 10:00:00   ;   154,24 ;     
21.07.2016 08:45:00   ;   154,26 ;     
27.04.2017 10:15:00   ;   154,17 ;     
06.09.2018 09:50:00   ;   154,20 ;     
10.01.2019 11:35:00   ;   154,22 ;     
22.10.2020 00:00:00   ;   154,29 ;     
19.07.2021 16:00:00   ;   154,27 ;     
