Messstelle:                ;Heiligenkreuz i.L., Bl 17A
HZB-Nummer:                ;335927
HD-Nummer:                 ;
DBMS-Nummer:               ;1002296
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Lafnitztal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.03.1998
 Geländehöhe:              ;225,32
 Messpunkthöhe:            ;226,11
 Sohllage:                 ;219,10
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1994               ;16 14 33                 ;46 59 24
  31.12.1993               ;16 14 29                 ;46 59 23
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
18.06.1994 07:01:00   ;   222,34 ;     
11.03.1995 07:01:00   ;   223,38 ;     
06.04.1996 07:01:00   ;   224,23 ;     
01.03.1997 12:00:00   ;   222,32 ;     
14.11.1998 12:00:00   ;   223,62 ;     
22.05.1999 12:00:00   ;   222,66 ;     
11.03.2000 12:00:00   ;   222,15 ;     
03.02.2001 12:00:00   ;   222,17 ;     
28.12.2002 12:00:00   ;   221,80 ;     
29.03.2003 12:00:00   ;   221,89 ;     
03.07.2004 12:00:00   ;   222,46 ;     
03.09.2005 12:00:00   ;   222,53 ;     
18.03.2006 12:00:00   ;   223,75 ;     
31.12.2007 23:59:55   ;   222,46 ;     
05.01.2008 12:00:00   ;   222,47 ;     
04.07.2009 12:00:00   ;   224,13 ;     
11.12.2010 11:56:00   ;   224,11 ;     
22.01.2011 11:45:00   ;   223,67 ;     
17.11.2012 10:45:00   ;   222,44 ;     
02.03.2013 12:00:00   ;   224,66 ;     
13.09.2014 11:40:00   ;   224,59 ;     
01.01.2015 00:00:05   ;   222,86 ;     
12.03.2016 10:55:00   ;   223,44 ;     
31.12.2017 23:59:55   ;   222,15 ;     
24.03.2018 11:20:00   ;   223,87 ;     
31.05.2019 17:30:00   ;   222,09 ;     
31.12.2020 23:59:55   ;   222,78 ;     
09.01.2021 11:46:00   ;   222,91 ;     
