Messstelle:                ;Öblarn, Bl  1180
HZB-Nummer:                ;336115
HD-Nummer:                 ;uw1180
DBMS-Nummer:               ;6002714
PorenGW-Gebiet:            ;157 Oberes Ennstal
Grundwasserkörper:         ;Oberes Ennstal (Landesgrenze bis Trautenfels) [DUJ
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1989
 Geländehöhe:              ;658,50
 Messpunkthöhe:            ;659,50
 Sohllage:                 ;648,00
 T-Messtiefe u.GOK:        ;7,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;13 59 15                 ;47 27 45
  01.01.1989               ;13 59 15                 ;47 27 44
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.07.1989 07:01:00   ;   655,47 ;     
09.07.1990 07:01:00   ;   655,05 ;     
29.07.1991 07:01:00   ;   656,16 ;     
18.05.1992 07:01:00   ;   655,70 ;     
25.10.1993 07:01:00   ;   655,15 ;     
02.05.1994 07:01:00   ;   655,13 ;     
08.05.1995 07:01:00   ;   655,30 ;     
18.11.1996 07:01:00   ;   655,06 ;     
21.07.1997 07:01:00   ;   655,86 ;     
11.05.1998 07:01:00   ;   655,13 ;     
10.05.1999 07:01:00   ;   655,52 ;     
25.04.2000 07:01:00   ;   655,70 ;     
07.05.2001 07:01:00   ;   655,19 ;     
12.08.2002 07:01:00   ;   656,25 ;     
05.05.2003 07:01:00   ;   654,84 ;     
14.06.2004 07:01:00   ;   655,31 ;     
11.07.2005 07:01:00   ;   655,80 ;     
29.05.2006 07:01:00   ;   655,45 ;     
10.09.2007 07:01:00   ;   655,70 ;     
19.05.2008 07:01:00   ;   655,26 ;     
25.06.2009 07:01:00   ;   655,89 ;     
07.06.2010 07:01:00   ;   655,21 ;     
13.06.2011 07:01:00   ;   655,39 ;     
23.07.2012 07:01:00   ;   655,60 ;     
03.06.2013 07:01:00   ;   655,90 ;     
26.05.2014 07:01:00   ;   655,27 ;     
11.05.2015 07:01:00   ;   655,23 ;     
14.07.2016 13:00:00   ;   655,74 ;     
07.08.2017 04:00:00   ;   655,55 ;     
24.04.2018 21:00:00   ;   655,48 ;     
06.06.2019 23:00:00   ;   655,80 ;     
04.08.2020 15:00:00   ;   655,43 ;     
06.06.2021 08:00:00   ;   655,27 ;     
