Messstelle:                ;Kritzendorf, Bl 1943.006
HZB-Nummer:                ;337279
HD-Nummer:                 ;
DBMS-Nummer:               ;3002917
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1993
 Geländehöhe:              ;167,05
 Messpunkthöhe:            ;167,80
 Sohllage:                 ;160,00
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 18 33                 ;48 19 50
  01.01.1993               ;16 18 31                 ;48 19 50
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
22.07.1993 07:01:00   ;   164,11 ;     
21.04.1994 07:01:00   ;   164,49 ;     
29.06.1995 07:01:00   ;   164,57 ;     
24.10.1996 07:01:00   ;   165,03 ;     
11.07.1997 07:01:00   ;   164,80 ;     
12.11.1998 07:01:00   ;   164,28 ;     
27.05.1999 07:01:00   ;   165,39 ;     
21.03.2000 07:01:00   ;   163,93 ;     
29.03.2001 07:01:00   ;   164,20 ;     
14.08.2002 07:01:00   ;   167,05 ;     
08.01.2003 07:01:00   ;   163,80 ;     
09.06.2004 07:01:00   ;   163,62 ;     
21.03.2005 07:01:00   ;   164,97 ;     
07.06.2006 07:01:00   ;   164,76 ;     
11.09.2007 07:01:00   ;   165,24 ;     
14.07.2008 07:01:00   ;   163,92 ;     
29.06.2009 07:01:00   ;   165,90 ;     
07.06.2010 07:01:00   ;   164,80 ;     
17.01.2011 07:01:00   ;   165,34 ;     
26.06.2012 07:01:00   ;   163,89 ;     
02.06.2013 07:01:00   ;   167,05 ;     
27.10.2014 07:01:00   ;   164,09 ;     
26.05.2015 07:01:00   ;   163,98 ;     
18.07.2016 07:01:00   ;   164,47 ;     
13.05.2017 07:01:00   ;   163,47 ;     
27.01.2018 07:01:00   ;   163,77 ;     
09.06.2019 07:01:00   ;   164,30 ;     
12.08.2020 07:01:00   ;   163,58 ;     
21.07.2021 07:01:00   ;   164,75 ;     
