Messstelle:                ;Poppichl, Bl 229
HZB-Nummer:                ;338160
HD-Nummer:                 ;
DBMS-Nummer:               ;2002157
PorenGW-Gebiet:            ;441 Zollfeld
Grundwasserkörper:         ;Glantal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.08.2021
 Geländehöhe:              ;451,00
 Messpunkthöhe:            ;452,07
 Sohllage:                 ;444,72
 T-Messtiefe u.GOK:        ;4,93
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  08.07.1996               ;14 18 08                 ;46 40 18
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
26.11.1996 07:01:00   ;   449,20 ;     
01.01.1997 00:00:05   ;   448,49 ;     
10.11.1998 07:30:00   ;   449,03 ;     
06.09.1999 07:30:00   ;   448,72 ;     
27.11.2000 07:30:00   ;   449,84 ;     
15.01.2001 07:30:00   ;   448,96 ;     
09.12.2002 07:30:00   ;   448,46 ;     
01.12.2003 07:30:00   ;   448,35 ;     
12.07.2004 07:30:00   ;   449,08 ;     
10.10.2005 07:30:00   ;   448,88 ;     
03.04.2006 07:30:00   ;   448,95 ;     
02.04.2007 07:30:00   ;   448,04 ;     
22.12.2008 07:30:00   ;   448,90 ;     
28.12.2009 07:30:00   ;   448,90 ;     
22.11.2010 07:30:00   ;   448,88 ;     
01.01.2011 00:00:05   ;   448,73 ;     
12.11.2012 07:30:00   ;   449,36 ;     
01.04.2013 07:30:00   ;   449,27 ;     
23.02.2014 12:00:00   ;   449,91 ;     
20.10.2015 06:00:00   ;   449,04 ;     
22.08.2016 16:00:00   ;   449,06 ;     
21.09.2017 20:00:00   ;   449,10 ;     
01.04.2018 16:00:00   ;   448,81 ;     
24.11.2019 18:00:00   ;   448,73 ;     
12.10.2020 08:00:00   ;   449,18 ;     
11.02.2021 21:47:00   ;   449,02 ;     
