
Messstelle:                ;Krasta, Br 210
HZB-Nummer:                ;338954
HD-Nummer:                 ;
DBMS-Nummer:               ;2002149
PorenGW-Gebiet:            ;537 Krappfeld obere Nebenstockwerke
Grundwasserkörper:         ;außerhalb der Grundwasserkörper (z.B. Neben-Stockwerke)
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;07.01.1988
 Geländehöhe:              ;599,99
 Messpunkthöhe:            ;600,39
 Sohllage:                 ;576,19
 T-Messtiefe u.GOK:        ;24,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.01.1988               ;14 28 06                 ;46 50 55
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2021 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.03.1988 00:00:00   ;   578,65 ;     
11.01.1989 00:00:00   ;   578,11 ;     
24.12.1993 07:01:00   ;   578,02 ;     
17.06.1994 07:01:00   ;   578,70 ;     
08.09.1995 07:01:00   ;   578,89 ;     
19.01.1996 07:01:00   ;   578,54 ;     
20.06.1997 07:30:00   ;   578,35 ;     
01.01.1998 00:00:05   ;   577,98 ;     
19.11.1999 07:30:00   ;   578,11 ;     
15.12.2000 07:30:00   ;   578,14 ;     
01.06.2001 07:30:00   ;   579,28 ;     
01.01.2002 00:00:05   ;   578,38 ;     
03.01.2003 07:30:00   ;   577,80 ;     
19.11.2004 07:30:00   ;   578,58 ;     
16.12.2005 07:30:00   ;   579,01 ;     
17.02.2006 07:30:00   ;   579,20 ;     
01.01.2007 00:00:05   ;   578,88 ;     
01.02.2008 07:30:00   ;   577,79 ;     
31.12.2009 23:59:55   ;   580,03 ;     
05.02.2010 07:30:00   ;   580,15 ;     
01.01.2011 00:00:05   ;   578,81 ;     
06.01.2012 07:30:00   ;   578,28 ;     
06.09.2013 07:30:00   ;   580,23 ;     
20.06.2014 07:30:00   ;   580,78 ;     
27.03.2015 07:30:00   ;   580,23 ;     
01.01.2016 07:30:00   ;   579,06 ;     
13.01.2017 07:30:00   ;   578,43 ;     
26.10.2018 07:30:00   ;   578,98 ;     
22.02.2019 07:30:00   ;   578,84 ;     
04.12.2020 00:00:00   ;   578,19 ;     
