Messstelle:                ;Kreisbichl, Bl W44.3
HZB-Nummer:                ;344507
HD-Nummer:                 ;W44.3
DBMS-Nummer:               ;4003228
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.02.1986
 Geländehöhe:              ;339,64
 Messpunkthöhe:            ;340,49
 Sohllage:                 ;331,61
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 53 48                 ;48 05 16
  18.02.1986               ;13 53 51                 ;48 05 19
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.05.1986 12:00:00   ;   336,85 ;     
21.12.1987 12:00:00   ;   338,15 ;     
14.04.1988 12:00:00   ;   337,46 ;     
20.06.1989 12:00:00   ;   337,12 ;     
09.07.1990 12:00:00   ;   337,25 ;     
30.07.1991 12:00:00   ;   337,99 ;     
25.11.1992 12:00:00   ;   338,04 ;     
28.06.1993 12:00:00   ;   337,38 ;     
18.04.1994 12:00:00   ;   337,34 ;     
26.06.1995 12:00:00   ;   337,85 ;     
16.09.1996 12:00:00   ;   337,99 ;     
22.07.1997 12:00:00   ;   338,28 ;     
11.11.1998 12:00:00   ;   337,93 ;     
22.02.1999 12:00:00   ;   337,44 ;     
25.04.2000 12:00:00   ;   337,19 ;     
20.06.2001 12:00:00   ;   338,12 ;     
21.03.2002 12:00:00   ;   338,26 ;     
16.09.2003 12:00:00   ;   336,71 ;     
28.09.2004 12:00:00   ;   336,85 ;     
13.07.2005 12:00:00   ;   338,35 ;     
09.08.2006 12:00:00   ;   338,04 ;     
12.09.2007 12:00:00   ;   338,36 ;     
16.08.2008 18:45:00   ;   337,11 ;     
24.06.2009 14:15:00   ;   339,13 ;     
03.06.2010 08:00:00   ;   338,29 ;     
14.01.2011 15:45:00   ;   337,54 ;     
13.06.2012 11:00:00   ;   337,30 ;     
02.06.2013 23:15:00   ;   339,82 ;     
11.11.2014 00:15:00   ;   340,46 ;     
21.01.2015 11:15:00   ;   340,46 ;     
07.09.2016 06:30:00   ;   337,62 ;     
20.03.2017 04:30:00   ;   337,89 ;     
29.06.2018 20:15:00   ;   337,12 ;     
29.05.2019 23:30:00   ;   337,47 ;     
04.02.2020 03:45:00   ;   337,27 ;     
19.07.2021 06:45:00   ;   337,05 ;     
