Messstelle:                ;Silz, Bl 18 (Im902)
HZB-Nummer:                ;346023
HD-Nummer:                 ;
DBMS-Nummer:               ;7002268
Fremdnummer:               ;GW70219067
PorenGW-Gebiet:            ;019 Oberinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.05.2018
 Geländehöhe:              ;647,27
 Messpunkthöhe:            ;648,52
 Sohllage:                 ;640,72
 T-Messtiefe u.GOK:        ;6,75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1992               ;10 56 29                 ;47 16 05
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.06.1992 22:15:00   ;   642,98 ;     
12.06.1993 09:45:00   ;   642,67 ;     
07.07.1994 20:15:00   ;   643,00 ;     
05.07.1995 02:30:00   ;   643,20 ;     
13.06.1996 01:30:00   ;   642,36 ;     
30.06.1997 21:15:00   ;   642,98 ;     
04.07.1998 00:45:00   ;   642,69 ;     
03.06.1999 16:15:00   ;   643,72 ;     
08.08.2000 03:30:00   ;   643,06 ;     
01.07.2001 15:45:00   ;   643,30 ;     
22.06.2002 05:00:00   ;   643,02 ;     
15.06.2003 09:00:00   ;   642,76 ;     
10.07.2004 05:00:00   ;   642,67 ;     
25.08.2005 03:00:00   ;   642,42 ;     
29.06.2006 22:15:00   ;   642,64 ;     
11.07.2007 18:00:00   ;   642,09 ;     
15.07.2008 08:00:00   ;   642,80 ;     
27.05.2009 18:00:00   ;   642,70 ;     
14.06.2010 22:30:00   ;   642,84 ;     
24.06.2011 22:00:00   ;   641,99 ;     
23.06.2012 00:00:00   ;   642,82 ;     
22.06.2013 08:45:00   ;   642,91 ;     
10.06.2015 02:30:00   ;   642,88 ;     
27.06.2016 14:45:00   ;   642,63 ;     
12.08.2017 03:30:00   ;   642,02 ;     
14.06.2018 02:00:00   ;   642,57 ;     
14.06.2019 00:30:00   ;   643,41 ;     
03.07.2020 12:30:00   ;   642,42 ;     
23.06.2021 04:00:00   ;   642,91 ;     
