Messstelle:                ;Mitterberg, Bl 52.7
HZB-Nummer:                ;374926
HD-Nummer:                 ;V52.7
DBMS-Nummer:               ;4003026
PorenGW-Gebiet:            ;110 Traun-Agergebiet
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.01.1993
 Geländehöhe:              ;385,07
 Messpunkthöhe:            ;386,07
 Sohllage:                 ;345,81
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 49 51                 ;48 03 53
  01.01.2003               ;13 49 55                 ;48 03 54
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.08.1993 07:01:00   ;   354,76 ;     
21.11.1994 07:01:00   ;   354,77 ;     
26.06.1995 07:01:00   ;   354,95 ;     
14.10.1996 07:01:00   ;   355,27 ;     
21.07.1997 07:01:00   ;   355,75 ;     
07.09.1998 07:01:00   ;   354,65 ;     
17.05.1999 07:01:00   ;   354,83 ;     
05.07.2000 07:01:00   ;   354,95 ;     
20.06.2001 07:01:00   ;   354,89 ;     
14.08.2002 07:01:00   ;   356,25 ;     
17.09.2003 07:01:00   ;   354,41 ;     
06.06.2004 07:01:00   ;   354,95 ;     
17.07.2005 07:01:00   ;   354,91 ;     
30.04.2006 07:01:00   ;   355,22 ;     
14.09.2007 07:01:00   ;   355,68 ;     
25.07.2008 07:01:00   ;   354,75 ;     
25.06.2009 07:01:00   ;   355,88 ;     
02.06.2010 12:00:00   ;   355,59 ;     
15.10.2011 12:00:00   ;   354,88 ;     
05.06.2012 12:00:00   ;   354,90 ;     
04.06.2013 12:00:00   ;   356,29 ;     
20.05.2014 12:00:00   ;   354,86 ;     
26.05.2015 12:00:00   ;   354,53 ;     
06.09.2016 12:00:00   ;   354,68 ;     
05.09.2017 12:00:00   ;   354,81 ;     
30.05.2018 12:00:00   ;   354,91 ;     
21.05.2019 12:00:00   ;   354,97 ;     
16.06.2020 12:00:00   ;   354,60 ;     
21.07.2021 12:00:00   ;   354,66 ;     
