Messstelle:                ;Weisskirchen, Bl 23.2
HZB-Nummer:                ;375709
HD-Nummer:                 ;W23.2
DBMS-Nummer:               ;4002839
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;03.01.1991
 Geländehöhe:              ;296,02
 Messpunkthöhe:            ;296,76
 Sohllage:                 ;283,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 07 04                 ;48 10 27
  01.01.2003               ;14 07 07                 ;48 10 29
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.08.1991 07:01:00   ;   289,24 ;     
27.03.1992 07:01:00   ;   288,73 ;     
29.07.1993 07:01:00   ;   289,15 ;     
14.04.1994 07:01:00   ;   289,42 ;     
22.06.1995 07:01:00   ;   288,80 ;     
30.05.1996 07:01:00   ;   289,23 ;     
10.07.1997 07:01:00   ;   289,09 ;     
19.03.1998 07:01:00   ;   288,83 ;     
24.02.1999 07:01:00   ;   289,25 ;     
03.02.2000 07:01:00   ;   288,75 ;     
13.09.2001 07:01:00   ;   289,08 ;     
15.08.2002 07:01:00   ;   290,00 ;     
13.01.2003 07:01:00   ;   289,15 ;     
26.07.2004 07:01:00   ;   288,97 ;     
18.08.2005 07:01:00   ;   289,09 ;     
30.03.2006 07:01:00   ;   290,27 ;     
06.09.2007 07:01:00   ;   289,53 ;     
19.03.2008 07:01:00   ;   288,63 ;     
25.06.2009 07:01:00   ;   290,25 ;     
13.10.2011 07:01:00   ;   288,80 ;     
25.01.2012 07:01:00   ;   288,95 ;     
05.06.2013 07:01:00   ;   289,51 ;     
29.05.2014 07:01:00   ;   289,03 ;     
28.05.2015 07:01:00   ;   288,71 ;     
26.07.2016 07:01:00   ;   288,89 ;     
15.05.2017 07:01:00   ;   288,96 ;     
08.01.2018 07:01:00   ;   289,03 ;     
02.10.2020 07:01:00   ;   288,76 ;     
06.08.2021 07:01:00   ;   289,17 ;     
