Messstelle:                ;Marchtrenk, Br 24.7
HZB-Nummer:                ;375865
HD-Nummer:                 ;W24.7
DBMS-Nummer:               ;4002965
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Energie AG Oberösterreich
Höhenangaben [m ü.A.]:     ;gültig seit: ;06.11.2013
 Geländehöhe:              ;300,41
 Messpunkthöhe:            ;300,97
 Sohllage:                 ;291,04
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 58                 ;48 10 53
  01.01.2003               ;14 06 00                 ;48 10 53
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.09.1993 07:01:00   ;   294,64 ;     
21.04.1994 07:01:00   ;   294,81 ;     
28.09.1995 07:01:00   ;   294,55 ;     
30.05.1996 07:01:00   ;   294,71 ;     
18.09.1997 07:01:00   ;   294,81 ;     
01.01.1998 00:00:05   ;   294,26 ;     
18.03.1999 07:01:00   ;   294,69 ;     
06.04.2000 07:01:00   ;   294,45 ;     
03.05.2001 07:01:00   ;   294,36 ;     
15.08.2002 07:01:00   ;   294,92 ;     
07.01.2003 07:01:00   ;   294,61 ;     
10.06.2004 07:01:00   ;   294,23 ;     
06.10.2005 07:01:00   ;   294,50 ;     
08.06.2006 07:01:00   ;   294,72 ;     
19.12.2007 07:01:00   ;   294,27 ;     
08.05.2008 07:01:00   ;   294,26 ;     
25.06.2009 07:01:00   ;   294,70 ;     
08.07.2010 07:01:00   ;   294,45 ;     
03.11.2011 07:01:00   ;   294,11 ;     
08.08.2012 07:01:00   ;   294,21 ;     
06.06.2013 07:01:00   ;   294,90 ;     
30.10.2014 07:01:00   ;   294,26 ;     
25.06.2015 07:01:00   ;   294,26 ;     
26.07.2016 07:01:00   ;   294,39 ;     
22.05.2017 07:01:00   ;   294,22 ;     
29.01.2018 07:01:00   ;   294,40 ;     
31.05.2019 07:01:00   ;   294,10 ;     
07.08.2020 07:01:00   ;   294,22 ;     
06.08.2021 07:01:00   ;   294,26 ;     
