Messstelle:                ;Ufer, Bl 25.14
HZB-Nummer:                ;377796
HD-Nummer:                 ;2125.014
DBMS-Nummer:               ;4002816
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;20.11.2003
 Geländehöhe:              ;251,13
 Messpunkthöhe:            ;251,03
 Sohllage:                 ;245,41
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 21 37                 ;48 15 19
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
24.07.1980 07:01:00   ;   247,75 ;     
12.02.1981 07:01:00   ;   247,72 ;     
04.02.1982 07:01:00   ;   247,70 ;     
10.02.1983 07:01:00   ;   247,41 ;     
16.02.1984 07:01:00   ;   247,40 ;     
14.08.1985 07:01:00   ;   247,60 ;     
23.01.1986 07:01:00   ;   247,64 ;     
22.05.1987 07:01:00   ;   247,65 ;     
01.04.1988 07:01:00   ;   247,89 ;     
01.01.1989 00:00:05   ;   247,47 ;     
23.02.1990 07:01:00   ;   247,42 ;     
08.08.1991 07:01:00   ;   248,17 ;     
27.11.1992 07:01:00   ;   247,69 ;     
24.12.1993 07:01:00   ;   247,73 ;     
15.04.1994 07:01:00   ;   248,03 ;     
08.04.1995 07:01:00   ;   247,76 ;     
18.05.1996 07:01:00   ;   248,20 ;     
26.07.1997 07:01:00   ;   247,77 ;     
28.03.1998 07:01:00   ;   247,64 ;     
28.02.1999 07:01:00   ;   247,80 ;     
25.03.2000 07:01:00   ;   247,81 ;     
23.03.2001 07:01:00   ;   247,90 ;     
17.08.2002 07:01:00   ;   248,70 ;     
11.01.2003 07:01:00   ;   247,91 ;     
12.06.2004 07:01:00   ;   247,76 ;     
16.07.2005 07:01:00   ;   247,82 ;     
31.03.2006 07:01:00   ;   247,90 ;     
14.09.2007 07:01:00   ;   248,15 ;     
28.03.2008 07:01:00   ;   247,66 ;     
26.06.2009 07:01:00   ;   248,04 ;     
18.06.2010 07:01:00   ;   247,76 ;     
09.09.2011 07:01:00   ;   247,49 ;     
17.02.2012 07:01:00   ;   247,84 ;     
07.06.2013 07:01:00   ;   248,26 ;     
12.06.2014 13:19:00   ;   247,46 ;     
22.01.2015 07:01:00   ;   247,41 ;     
21.05.2016 07:01:00   ;   247,69 ;     
31.12.2017 23:59:55   ;   247,88 ;     
05.01.2018 07:01:00   ;   247,95 ;     
16.01.2019 07:01:00   ;   247,48 ;     
04.08.2020 07:01:00   ;   247,54 ;     
04.08.2021 07:01:00   ;   247,63 ;     
