Messstelle:                ;Ebreichsdorf, Bl 41
HZB-Nummer:                ;300301
HD-Nummer:                 ;
DBMS-Nummer:               ;11002008
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1990
 Geländehöhe:              ;204,95
 Messpunkthöhe:            ;205,75
 Sohllage:                 ;198,72
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  03.11.1961               ;16 23 21                 ;47 57 14
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
21.10.1962 07:01:00   ;   202,19 ;     
03.11.1963 07:01:00   ;   201,82 ;     
27.09.1964 07:01:00   ;   202,11 ;     
28.02.1965 07:01:00   ;   202,35 ;     
17.07.1966 07:01:00   ;   202,21 ;     
10.09.1967 07:01:00   ;   202,25 ;     
07.07.1968 07:01:00   ;   202,20 ;     
01.01.1969 00:00:05   ;   202,24 ;     
12.07.1970 07:01:00   ;   202,24 ;     
12.09.1971 07:01:00   ;   202,09 ;     
06.02.1972 07:01:00   ;   202,17 ;     
26.08.1973 07:01:00   ;   202,14 ;     
18.08.1974 07:01:00   ;   202,11 ;     
22.06.1975 07:01:00   ;   202,14 ;     
18.07.1976 07:01:00   ;   202,16 ;     
14.07.1977 07:01:00   ;   202,21 ;     
27.08.1978 07:01:00   ;   202,06 ;     
04.01.1979 07:01:00   ;   202,15 ;     
07.08.1980 07:01:00   ;   202,13 ;     
10.08.1981 07:01:00   ;   202,00 ;     
19.07.1982 07:01:00   ;   202,26 ;     
01.09.1983 07:01:00   ;   202,16 ;     
06.09.1984 07:01:00   ;   202,02 ;     
24.01.1985 07:01:00   ;   202,13 ;     
02.10.1986 07:01:00   ;   202,21 ;     
15.10.1987 07:01:00   ;   202,22 ;     
01.08.1988 07:01:00   ;   202,09 ;     
24.07.1989 07:01:00   ;   202,25 ;     
30.08.1990 07:01:00   ;   202,01 ;     
04.02.1991 07:01:00   ;   202,20 ;     
31.08.1992 07:01:00   ;   202,11 ;     
15.07.1993 07:01:00   ;   202,20 ;     
18.08.1994 07:01:00   ;   202,12 ;     
14.08.1995 07:01:00   ;   202,19 ;     
19.08.1996 07:01:00   ;   202,44 ;     
25.12.1997 07:01:00   ;   202,31 ;     
17.08.1998 07:01:00   ;   202,18 ;     
08.07.1999 07:01:00   ;   202,37 ;     
03.08.2000 07:01:00   ;   202,15 ;     
09.07.2001 07:01:00   ;   202,04 ;     
21.01.2002 07:01:00   ;   202,28 ;     
25.08.2003 07:01:00   ;   202,11 ;     
09.09.2004 07:01:00   ;   202,27 ;     
30.06.2005 07:01:00   ;   202,28 ;     
03.08.2006 07:01:00   ;   202,35 ;     
09.08.2007 07:01:00   ;   202,18 ;     
29.05.2008 07:01:00   ;   202,42 ;     
21.12.2009 07:01:00   ;   202,46 ;     
15.07.2010 07:01:00   ;   202,39 ;     
21.07.2011 07:01:00   ;   202,27 ;     
02.07.2012 07:01:00   ;   202,22 ;     
22.08.2013 07:01:00   ;   202,31 ;     
08.05.2014 07:01:00   ;   202,40 ;     
13.08.2015 07:01:00   ;   202,26 ;     
21.01.2016 07:01:00   ;   202,33 ;     
03.08.2017 07:01:00   ;   202,28 ;     
30.08.2018 07:01:00   ;   202,26 ;     
12.08.2019 07:01:00   ;   202,30 ;     
03.08.2020 07:01:00   ;   202,25 ;     
08.07.2021 07:01:00   ;   202,18 ;     
