Messstelle:                ;Spillern, Bl 1946.003
HZB-Nummer:                ;303511
HD-Nummer:                 ;
DBMS-Nummer:               ;3002309
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.10.1959
 Geländehöhe:              ;168,99
 Messpunkthöhe:            ;169,59
 Sohllage:                 ;161,48
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 17 02                 ;48 22 04
  28.10.1959               ;16 16 57                 ;48 22 03
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG27 Messstelle wegen Eschensterbens über längere Zeit nicht zugänlich
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
12.12.1960 07:01:00   ;   165,24 ;     
04.01.1965 07:01:00   ;   165,01 ;     
27.06.1966 07:01:00   ;   165,79 ;     
20.11.1967 07:01:00   ;   165,31 ;     
05.08.1968 07:01:00   ;   164,92 ;     
03.11.1969 07:01:00   ;   164,98 ;     
25.01.1970 07:01:00   ;   164,98 ;     
27.09.1971 07:01:00   ;   164,91 ;     
24.01.1972 07:01:00   ;   165,04 ;     
24.09.1973 07:01:00   ;   164,86 ;     
14.10.1974 07:01:00   ;   164,72 ;     
30.06.1975 07:01:00   ;   165,20 ;     
06.09.1976 07:01:00   ;   164,96 ;     
25.07.1977 07:01:00   ;   165,13 ;     
23.10.1978 07:01:00   ;   164,59 ;     
30.01.1979 07:01:00   ;   164,61 ;     
08.10.1980 07:01:00   ;   165,12 ;     
15.07.1981 07:01:00   ;   164,88 ;     
07.12.1982 07:01:00   ;   164,94 ;     
22.11.1983 07:01:00   ;   164,46 ;     
18.09.1984 07:01:00   ;   164,50 ;     
29.01.1985 07:01:00   ;   164,72 ;     
05.08.1986 07:01:00   ;   165,44 ;     
01.01.1987 00:00:05   ;   165,62 ;     
16.11.1988 07:01:00   ;   165,27 ;     
28.12.1989 07:01:00   ;   165,02 ;     
25.10.1990 07:01:00   ;   164,75 ;     
05.03.1991 07:01:00   ;   164,77 ;     
25.11.1992 07:01:00   ;   164,89 ;     
20.10.1993 07:01:00   ;   164,73 ;     
08.11.1994 07:01:00   ;   164,57 ;     
17.01.1995 07:01:00   ;   164,58 ;     
01.01.1996 00:00:05   ;   164,97 ;     
08.07.1997 07:01:00   ;   165,87 ;     
06.10.1998 07:01:00   ;   165,29 ;     
10.11.1999 07:01:00   ;   165,35 ;     
19.12.2000 07:01:00   ;   164,89 ;     
04.09.2001 07:01:00   ;   164,72 ;     
01.01.2002 00:00:05   ;   164,89 ;     
30.12.2003 07:01:00   ;   164,91 ;     
03.11.2004 07:01:00   ;   164,90 ;     
12.01.2005 07:01:00   ;   164,89 ;     
01.01.2006 00:00:05   ;   165,11 ;     
04.09.2007 07:01:00   ;   164,77 ;     
14.10.2008 07:01:00   ;   165,27 ;     
20.01.2009 07:01:00   ;   165,43 ;     
16.02.2010 07:01:00   ;   166,13 ;     
04.10.2011 07:01:00   ;   165,47 ;     
23.10.2012 07:01:00   ;   165,04 ;     
15.01.2013 07:01:00   ;   165,07 ;     
19.08.2014 07:01:00   ;   165,71 ;     
13.10.2015 07:01:00   ;   165,33 ;     
04.10.2016 07:01:00   ;   165,55 ;     
15.06.2020 07:01:00   ;   165,16 ;     
16.11.2021 07:01:00   ;   165,42 ;     
