Messstelle:                ;Andau, Br 101
HZB-Nummer:                ;305557
HD-Nummer:                 ;
DBMS-Nummer:               ;1002006
PorenGW-Gebiet:            ;318 Seewinkel
Grundwasserkörper:         ;Seewinkel [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.12.1977
 Geländehöhe:              ;121,16
 Messpunkthöhe:            ;121,91
 Sohllage:                 ;116,84
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.08.1953               ;17 00 50                 ;47 47 52
  16.08.1953               ;17 00 24                 ;47 48 17
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
27.09.1954 07:01:00   ;   117,67 ;     
26.09.1955 07:01:00   ;   118,22 ;     
22.10.1956 07:01:00   ;   117,97 ;     
11.11.1957 07:01:00   ;   118,04 ;     
09.12.1958 07:01:00   ;   117,89 ;     
08.06.1959 07:01:00   ;   118,09 ;     
26.09.1960 07:01:00   ;   117,92 ;     
16.10.1961 07:01:00   ;   117,69 ;     
29.10.1962 07:01:00   ;   117,76 ;     
04.03.1963 07:01:00   ;   118,15 ;     
05.10.1964 07:01:00   ;   117,83 ;     
04.01.1965 07:01:00   ;   118,65 ;     
24.10.1966 07:01:00   ;   119,01 ;     
04.09.1967 07:01:00   ;   118,61 ;     
05.08.1968 07:01:00   ;   118,21 ;     
24.11.1969 07:01:00   ;   118,25 ;     
01.01.1970 00:00:05   ;   118,28 ;     
29.11.1971 07:01:00   ;   117,71 ;     
03.01.1972 07:01:00   ;   117,80 ;     
10.09.1973 07:01:00   ;   117,41 ;     
09.09.1974 07:01:00   ;   117,38 ;     
01.01.1975 00:00:05   ;   117,79 ;     
30.08.1976 07:01:00   ;   117,51 ;     
31.12.1977 23:59:55   ;   117,64 ;     
11.09.1978 07:01:00   ;   117,18 ;     
22.01.1979 07:01:00   ;   117,17 ;     
09.09.1980 07:01:00   ;   117,42 ;     
14.09.1981 07:01:00   ;   117,30 ;     
01.01.1982 00:00:05   ;   117,57 ;     
12.12.1983 07:01:00   ;   117,51 ;     
10.09.1984 07:01:00   ;   117,17 ;     
01.01.1985 00:00:05   ;   117,40 ;     
15.12.1986 07:01:00   ;   117,42 ;     
01.01.1987 00:00:05   ;   117,43 ;     
22.08.1988 07:01:00   ;   117,37 ;     
21.08.1989 07:01:00   ;   117,11 ;     
27.08.1990 07:01:00   ;   116,49 ;     
01.01.1991 00:00:05   ;   116,61 ;     
31.08.1992 07:01:00   ;   116,57 ;     
23.08.1993 07:01:00   ;   116,51 ;     
01.01.1994 00:00:05   ;   116,78 ;     
14.08.1995 07:01:00   ;   116,75 ;     
01.01.1996 00:00:05   ;   117,58 ;     
17.11.1997 09:20:00   ;   117,92 ;     
24.08.1998 09:20:00   ;   117,26 ;     
13.09.1999 09:20:00   ;   117,53 ;     
28.08.2000 09:20:00   ;   117,01 ;     
20.08.2001 09:20:00   ;   116,65 ;     
02.09.2002 09:20:00   ;   116,56 ;     
29.09.2003 09:20:00   ;   116,48 ;     
01.01.2004 00:00:05   ;   116,65 ;     
01.08.2005 09:20:00   ;   116,37 ;     
01.01.2006 00:00:05   ;   117,08 ;     
20.08.2007 09:20:00   ;   116,85 ;     
15.12.2008 09:20:00   ;   117,47 ;     
12.01.2009 09:20:00   ;   117,57 ;     
12.07.2010 10:30:00   ;   117,86 ;     
19.12.2011 10:40:00   ;   117,57 ;     
15.10.2012 10:40:00   ;   117,04 ;     
01.01.2013 00:00:05   ;   117,12 ;     
14.07.2014 10:30:00   ;   117,30 ;     
28.09.2015 10:30:00   ;   117,64 ;     
10.10.2016 10:30:00   ;   117,55 ;     
11.09.2017 10:30:00   ;   116,98 ;     
01.01.2018 00:00:05   ;   117,09 ;     
28.10.2019 10:30:00   ;   117,14 ;     
10.08.2020 10:40:00   ;   116,77 ;     
12.07.2021 10:45:00   ;   116,70 ;     
