Messstelle:                ;Baumgarten, Br 2098.017
HZB-Nummer:                ;308643
HD-Nummer:                 ;2098.017
DBMS-Nummer:               ;4002207
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1972
 Geländehöhe:              ;239,80
 Messpunkthöhe:            ;240,55
 Sohllage:                 ;233,45
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 39 46                 ;48 12 10
  01.01.2003               ;14 39 49                 ;48 12 11
  01.01.1964               ;14 39 49                 ;48 12 11
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1970 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  1970 AKorr 2001: Regimeänderung durch Flussregelung
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.02.1970 07:01:00   ;   234,08 ;     
22.12.1971 07:01:00   ;   234,04 ;     
28.03.1973 07:01:00   ;   233,93 ;     
01.01.1974 00:00:05   ;   234,05 ;     
22.12.1975 07:01:00   ;   234,33 ;     
30.11.1976 07:01:00   ;   234,02 ;     
27.12.1977 07:01:00   ;   233,95 ;     
12.12.1978 07:01:00   ;   233,78 ;     
30.01.1979 07:01:00   ;   233,78 ;     
09.12.1980 07:01:00   ;   234,15 ;     
03.11.1981 07:01:00   ;   234,17 ;     
31.12.1982 23:59:55   ;   233,98 ;     
13.12.1983 07:01:00   ;   233,89 ;     
24.01.1984 07:01:00   ;   233,85 ;     
22.01.1985 07:01:00   ;   233,82 ;     
31.12.1986 07:01:00   ;   233,92 ;     
01.01.1987 00:00:05   ;   233,92 ;     
22.11.1988 07:01:00   ;   234,23 ;     
31.12.1989 23:59:55   ;   234,05 ;     
03.01.1990 07:01:00   ;   234,05 ;     
22.05.1991 07:01:00   ;   234,09 ;     
18.11.1992 07:01:00   ;   234,10 ;     
09.12.1993 07:01:00   ;   234,18 ;     
29.12.1994 07:01:00   ;   234,02 ;     
26.01.1995 07:01:00   ;   233,98 ;     
04.04.1996 07:01:00   ;   234,55 ;     
18.12.1997 07:01:00   ;   234,16 ;     
24.09.1998 07:01:00   ;   234,18 ;     
08.12.1999 07:01:00   ;   234,05 ;     
19.01.2000 07:01:00   ;   234,00 ;     
08.01.2001 07:01:00   ;   234,02 ;     
01.01.2002 00:00:05   ;   234,42 ;     
31.12.2003 23:59:55   ;   234,12 ;     
08.01.2004 07:01:00   ;   234,11 ;     
19.01.2005 07:01:00   ;   234,19 ;     
02.02.2006 07:01:00   ;   234,29 ;     
01.02.2007 07:01:00   ;   234,24 ;     
31.12.2008 23:59:55   ;   234,15 ;     
08.01.2009 07:01:00   ;   234,13 ;     
23.12.2010 07:01:00   ;   234,34 ;     
31.12.2011 23:59:55   ;   234,04 ;     
05.01.2012 07:01:00   ;   234,02 ;     
01.01.2013 00:00:05   ;   234,25 ;     
09.05.2014 07:01:00   ;   234,12 ;     
31.12.2015 23:59:55   ;   234,03 ;     
28.01.2016 07:01:00   ;   233,98 ;     
21.12.2017 07:01:00   ;   234,12 ;     
20.12.2018 07:01:00   ;   233,97 ;     
01.01.2019 00:00:05   ;   233,99 ;     
30.01.2020 07:01:00   ;   233,97 ;     
23.12.2021 07:01:00   ;   234,30 ;     
01.01.2022 00:00:05   ;   234,30 ;     
