Messstelle:                ;Baumgartenberg, Bl 2091.011
HZB-Nummer:                ;308957
HD-Nummer:                 ;2091.011
DBMS-Nummer:               ;4002238
PorenGW-Gebiet:            ;177 Nördliches Machland
Grundwasserkörper:         ;Machland [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.07.2004
 Geländehöhe:              ;234,61
 Messpunkthöhe:            ;235,19
 Sohllage:                 ;226,79
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 44 12                 ;48 11 37
  01.01.2003               ;14 44 10                 ;48 11 40
  07.11.1947               ;14 44 10                 ;48 11 40
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
28.11.1966 07:01:00   ;   229,18 ;     
21.08.1967 07:01:00   ;   229,05 ;     
01.07.1968 07:01:00   ;   229,08 ;     
29.09.1969 07:01:00   ;   229,03 ;     
19.01.1970 07:01:00   ;   229,03 ;     
27.09.1971 07:01:00   ;   229,00 ;     
13.11.1972 07:01:00   ;   229,03 ;     
17.09.1973 07:01:00   ;   228,96 ;     
29.04.1974 07:01:00   ;   229,04 ;     
09.06.1975 07:01:00   ;   229,11 ;     
12.07.1976 07:01:00   ;   229,03 ;     
12.11.1977 07:01:00   ;   229,06 ;     
02.05.1978 07:01:00   ;   229,00 ;     
29.01.1979 07:01:00   ;   229,11 ;     
06.10.1980 07:01:00   ;   229,21 ;     
27.10.1981 07:01:00   ;   229,16 ;     
08.11.1982 07:01:00   ;   229,11 ;     
19.09.1983 07:01:00   ;   229,11 ;     
31.12.1984 07:01:00   ;   229,09 ;     
28.01.1985 07:01:00   ;   229,08 ;     
24.11.1986 07:01:00   ;   229,11 ;     
01.01.1987 00:00:05   ;   229,15 ;     
21.10.1988 07:01:00   ;   229,13 ;     
11.08.1989 07:01:00   ;   229,19 ;     
16.11.1990 07:01:00   ;   229,15 ;     
29.03.1991 07:01:00   ;   229,11 ;     
27.05.1992 07:01:00   ;   229,12 ;     
25.05.1993 07:01:00   ;   229,11 ;     
25.10.1994 07:01:00   ;   229,09 ;     
01.01.1995 00:00:05   ;   229,11 ;     
05.03.1996 07:01:00   ;   229,15 ;     
18.02.1997 07:01:00   ;   229,12 ;     
10.03.1998 07:01:00   ;   229,15 ;     
07.12.1999 07:01:00   ;   229,13 ;     
11.01.2000 07:01:00   ;   229,14 ;     
30.01.2001 07:01:00   ;   229,13 ;     
30.07.2002 07:01:00   ;   229,21 ;     
30.12.2003 07:01:00   ;   229,11 ;     
28.12.2004 07:01:00   ;   229,08 ;     
18.01.2005 07:01:00   ;   229,07 ;     
14.02.2006 07:01:00   ;   229,05 ;     
15.01.2007 07:01:00   ;   229,07 ;     
20.10.2008 07:01:00   ;   229,06 ;     
30.01.2009 07:01:00   ;   229,05 ;     
04.02.2010 07:01:00   ;   229,09 ;     
07.01.2011 07:01:00   ;   229,10 ;     
01.01.2012 00:00:05   ;   229,24 ;     
03.05.2013 07:01:00   ;   229,32 ;     
08.05.2014 07:01:00   ;   229,19 ;     
24.04.2015 07:01:00   ;   229,28 ;     
13.04.2016 07:01:00   ;   229,29 ;     
31.05.2017 07:01:00   ;   229,31 ;     
20.06.2018 07:01:00   ;   229,27 ;     
10.07.2019 07:01:00   ;   229,27 ;     
21.05.2020 07:01:00   ;   229,34 ;     
30.06.2021 07:01:00   ;   229,44 ;     
