Messstelle:                ;Lauterach, Bl 50.2.07 A
HZB-Nummer:                ;309443
HD-Nummer:                 ;50.2.07 A
DBMS-Nummer:               ;8002010
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1999
 Geländehöhe:              ;405,50
 Messpunkthöhe:            ;406,10
 Sohllage:                 ;400,80
 T-Messtiefe u.GOK:        ;4,40
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1999               ;09 43 07                 ;47 28 34
  01.01.1954               ;09 43 15                 ;47 28 32
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.01.1963 07:01:00   ;   404,17 ;     
27.01.1964 07:01:00   ;   404,02 ;     
08.11.1965 07:01:00   ;   404,15 ;     
24.10.1966 07:01:00   ;   404,20 ;     
18.12.1967 07:01:00   ;   403,64 ;     
02.12.1968 07:01:00   ;   403,41 ;     
01.01.1969 00:00:05   ;   403,86 ;     
21.12.1970 07:01:00   ;   404,01 ;     
15.11.1971 07:01:00   ;   403,61 ;     
13.03.1972 07:01:00   ;   403,04 ;     
29.01.1973 07:01:00   ;   403,87 ;     
29.04.1974 07:01:00   ;   403,92 ;     
17.11.1975 07:01:00   ;   403,21 ;     
05.01.1976 07:01:00   ;   403,32 ;     
27.06.1977 07:01:00   ;   403,13 ;     
04.12.1978 07:01:00   ;   403,44 ;     
05.11.1979 07:01:00   ;   403,67 ;     
01.12.1980 07:01:00   ;   403,87 ;     
02.03.1981 07:01:00   ;   403,89 ;     
06.12.1982 07:01:00   ;   403,82 ;     
21.11.1983 07:01:00   ;   403,62 ;     
19.11.1984 07:01:00   ;   403,75 ;     
04.11.1985 07:01:00   ;   403,43 ;     
20.10.1986 07:01:00   ;   403,10 ;     
16.11.1987 07:01:00   ;   403,37 ;     
14.11.1988 07:01:00   ;   403,30 ;     
31.12.1989 23:59:55   ;   403,35 ;     
12.02.1990 07:01:00   ;   402,98 ;     
18.03.1991 07:01:00   ;   403,05 ;     
02.11.1992 07:01:00   ;   403,43 ;     
20.12.1993 07:01:00   ;   403,77 ;     
31.10.1994 07:01:00   ;   403,23 ;     
14.08.1995 07:01:00   ;   403,48 ;     
18.03.1996 07:01:00   ;   403,48 ;     
13.10.1997 07:01:00   ;   403,32 ;     
08.06.1998 07:01:00   ;   403,30 ;     
01.11.1999 07:01:00   ;   403,08 ;     
31.01.2000 07:01:00   ;   403,40 ;     
01.01.2001 07:01:00   ;   403,53 ;     
22.04.2002 07:01:00   ;   403,50 ;     
22.09.2003 07:01:00   ;   403,01 ;     
20.12.2004 07:01:00   ;   403,17 ;     
26.12.2005 07:01:00   ;   403,00 ;     
04.12.2006 07:01:00   ;   402,72 ;     
14.05.2007 07:01:00   ;   402,60 ;     
01.12.2008 07:01:00   ;   402,50 ;     
09.02.2009 07:01:00   ;   402,45 ;     
01.02.2010 07:01:00   ;   402,58 ;     
28.11.2011 07:01:00   ;   403,16 ;     
20.08.2012 07:01:00   ;   403,21 ;     
23.12.2013 07:01:00   ;   403,51 ;     
23.06.2014 09:14:00   ;   403,19 ;     
16.11.2015 09:00:00   ;   402,96 ;     
31.12.2016 22:00:00   ;   402,92 ;     
09.01.2017 11:00:00   ;   402,85 ;     
30.11.2018 18:00:00   ;   402,42 ;     
01.01.2019 00:00:05   ;   403,25 ;     
05.12.2020 16:00:00   ;   403,15 ;     
01.11.2021 12:00:00   ;   403,42 ;     
