Messstelle:                ;Nofels, Bl 01.32.21 A
HZB-Nummer:                ;309534
HD-Nummer:                 ;01.32.21 A
DBMS-Nummer:               ;8002019
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2019
 Geländehöhe:              ;439,95
 Messpunkthöhe:            ;440,81
 Sohllage:                 ;420,95
 T-Messtiefe u.GOK:        ;16,35
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.12.2003               ;09 34 29                 ;47 15 44
  27.11.1954               ;09 34 29                 ;47 15 44
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.12.1954 07:01:00   ;   428,82 ;     
12.11.1962 07:01:00   ;   428,66 ;     
04.02.1963 07:01:00   ;   427,98 ;     
10.02.1964 07:01:00   ;   427,38 ;     
15.03.1965 07:01:00   ;   428,23 ;     
05.12.1966 07:01:00   ;   429,97 ;     
25.12.1967 07:01:00   ;   428,75 ;     
31.12.1968 23:59:55   ;   428,40 ;     
03.02.1969 07:01:00   ;   428,05 ;     
01.01.1970 00:00:05   ;   428,46 ;     
27.12.1971 07:01:00   ;   428,82 ;     
17.04.1972 07:01:00   ;   428,29 ;     
19.03.1973 07:01:00   ;   428,56 ;     
13.05.1974 07:01:00   ;   429,39 ;     
31.12.1975 23:59:55   ;   429,02 ;     
03.05.1976 07:01:00   ;   428,56 ;     
31.01.1977 07:01:00   ;   428,89 ;     
31.12.1978 23:59:55   ;   428,81 ;     
05.02.1979 07:01:00   ;   428,41 ;     
29.12.1980 07:01:00   ;   428,80 ;     
01.01.1981 00:00:05   ;   428,82 ;     
31.12.1982 23:59:55   ;   428,84 ;     
26.12.1983 07:01:00   ;   428,73 ;     
16.04.1984 07:01:00   ;   428,60 ;     
31.12.1985 23:59:55   ;   428,48 ;     
29.12.1986 07:01:00   ;   428,02 ;     
01.01.1987 00:00:05   ;   428,07 ;     
05.12.1988 07:01:00   ;   428,17 ;     
31.12.1989 23:59:55   ;   427,74 ;     
12.02.1990 07:01:00   ;   427,30 ;     
18.03.1991 07:01:00   ;   427,29 ;     
16.11.1992 07:01:00   ;   427,45 ;     
05.04.1993 07:01:00   ;   428,36 ;     
26.12.1994 07:01:00   ;   428,01 ;     
01.01.1995 00:00:05   ;   428,06 ;     
15.04.1996 07:01:00   ;   428,02 ;     
07.04.1997 07:01:00   ;   428,02 ;     
16.03.1998 07:01:00   ;   427,13 ;     
08.02.1999 07:01:00   ;   427,97 ;     
31.12.2000 23:59:55   ;   429,27 ;     
26.02.2001 07:01:00   ;   428,83 ;     
18.02.2002 07:01:00   ;   429,11 ;     
06.10.2003 07:01:00   ;   427,76 ;     
01.01.2004 00:00:05   ;   428,49 ;     
31.12.2005 23:59:55   ;   428,31 ;     
13.02.2006 14:58:00   ;   428,11 ;     
05.03.2007 08:41:00   ;   428,39 ;     
15.12.2008 10:02:00   ;   428,69 ;     
10.12.2009 09:16:00   ;   428,47 ;     
19.04.2010 09:55:00   ;   428,28 ;     
21.12.2011 15:50:00   ;   428,08 ;     
01.01.2012 00:00:05   ;   428,38 ;     
30.12.2013 21:30:00   ;   428,84 ;     
23.04.2014 00:30:00   ;   428,40 ;     
31.12.2015 08:15:00   ;   428,11 ;     
03.01.2016 08:15:00   ;   428,09 ;     
31.01.2017 00:00:00   ;   429,06 ;     
23.12.2018 14:15:00   ;   428,41 ;     
10.01.2019 14:15:00   ;   428,53 ;     
22.12.2020 00:00:00   ;   429,46 ;     
06.12.2021 00:00:00   ;   429,17 ;     
