Messstelle:                ;Badendorf, Br  3785
HZB-Nummer:                ;310854
HD-Nummer:                 ;uw3785
DBMS-Nummer:               ;6002095
PorenGW-Gebiet:            ;390 Leibnitzer Feld
Grundwasserkörper:         ;Leibnitzer Feld [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1963
 Geländehöhe:              ;295,30
 Messpunkthöhe:            ;295,60
 Sohllage:                 ;284,25
 T-Messtiefe u.GOK:        ;10,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 35 26                 ;46 51 45
  01.01.1963               ;15 35 26                 ;46 51 45
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
08.10.1964 07:01:00   ;   285,25 ;     
11.11.1965 07:01:00   ;   285,25 ;     
14.07.1966 07:01:00   ;   285,29 ;     
20.08.1967 07:01:00   ;   285,24 ;     
16.05.1968 07:01:00   ;   285,22 ;     
12.01.1969 07:01:00   ;   285,28 ;     
28.06.1970 07:01:00   ;   285,27 ;     
11.07.1971 07:01:00   ;   285,21 ;     
09.11.1972 07:01:00   ;   285,27 ;     
14.06.1973 07:01:00   ;   285,26 ;     
24.04.1974 07:01:00   ;   285,31 ;     
10.03.1975 07:01:00   ;   285,27 ;     
30.08.1976 07:01:00   ;   285,17 ;     
07.11.1977 07:01:00   ;   285,21 ;     
04.12.1978 07:01:00   ;   285,20 ;     
22.01.1979 07:01:00   ;   285,22 ;     
18.08.1980 07:01:00   ;   285,23 ;     
24.08.1981 07:01:00   ;   285,22 ;     
01.03.1982 07:01:00   ;   285,24 ;     
01.08.1983 07:01:00   ;   285,21 ;     
10.09.1984 07:01:00   ;   285,24 ;     
04.11.1985 07:01:00   ;   285,21 ;     
29.12.1986 07:01:00   ;   285,24 ;     
26.01.1987 07:01:00   ;   285,23 ;     
15.08.1988 07:01:00   ;   285,24 ;     
10.04.1989 07:01:00   ;   285,09 ;     
22.01.1990 07:01:00   ;   285,22 ;     
07.10.1991 07:01:00   ;   285,25 ;     
24.08.1992 07:01:00   ;   285,20 ;     
15.03.1993 07:01:00   ;   285,20 ;     
22.08.1994 07:01:00   ;   285,25 ;     
04.12.1995 07:01:00   ;   285,24 ;     
26.08.1996 07:01:00   ;   285,26 ;     
19.05.1997 07:01:00   ;   285,22 ;     
20.04.1998 07:01:00   ;   285,21 ;     
25.10.1999 07:01:00   ;   285,24 ;     
05.06.2000 07:01:00   ;   285,23 ;     
24.12.2001 07:01:00   ;   285,19 ;     
04.03.2002 07:01:00   ;   285,19 ;     
23.06.2003 07:01:00   ;   285,20 ;     
16.02.2004 07:01:00   ;   285,21 ;     
17.01.2005 07:01:00   ;   285,22 ;     
11.12.2006 07:01:00   ;   285,23 ;     
15.01.2007 07:01:00   ;   285,22 ;     
25.02.2008 07:01:00   ;   285,22 ;     
20.04.2009 07:01:00   ;   285,27 ;     
31.05.2010 07:01:00   ;   285,25 ;     
19.12.2011 00:00:00   ;   285,21 ;     
27.01.2012 00:00:00   ;   285,20 ;     
12.08.2013 07:01:00   ;   285,17 ;     
16.04.2014 00:00:00   ;   285,28 ;     
24.12.2015 00:00:00   ;   285,25 ;     
21.01.2016 12:00:00   ;   285,24 ;     
25.01.2017 00:00:00   ;   285,24 ;     
01.01.2018 00:00:05   ;   285,30 ;     
20.03.2019 00:00:00   ;   285,28 ;     
03.06.2020 00:00:00   ;   285,26 ;     
29.12.2021 21:00:00   ;   285,23 ;     
