Messstelle:                ;Wr.Neustadt-WW.West, Bl 4
HZB-Nummer:                ;313874
HD-Nummer:                 ;
DBMS-Nummer:               ;3002554
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.08.1985
 Geländehöhe:              ;280,61
 Messpunkthöhe:            ;281,46
 Sohllage:                 ;251,76
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 12 13                 ;47 50 00
  01.01.2009               ;16 12 13                 ;47 50 01
  13.07.1970               ;16 12 14                 ;47 50 02
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1971 23:59:55   ;   257,53 ;     
11.04.1972 07:01:00   ;   256,46 ;     
04.06.1973 07:01:00   ;   259,82 ;     
29.04.1974 07:01:00   ;   259,61 ;     
26.05.1975 07:01:00   ;   259,41 ;     
31.12.1976 23:59:55   ;   260,38 ;     
31.01.1977 07:01:00   ;   260,01 ;     
31.12.1978 23:59:55   ;   257,44 ;     
23.04.1979 07:01:00   ;   256,40 ;     
05.05.1980 07:01:00   ;   257,69 ;     
31.12.1981 23:59:55   ;   257,94 ;     
25.01.1982 07:01:00   ;   257,84 ;     
31.12.1983 23:59:55   ;   258,95 ;     
12.06.1984 07:01:00   ;   256,80 ;     
22.04.1985 07:01:00   ;   255,61 ;     
10.03.1986 07:01:00   ;   258,53 ;     
09.02.1987 07:01:00   ;   258,78 ;     
16.05.1988 07:01:00   ;   259,23 ;     
03.04.1989 07:01:00   ;   259,49 ;     
31.12.1990 23:59:55   ;   258,28 ;     
06.05.1991 07:01:00   ;   256,96 ;     
01.01.1992 00:00:05   ;   261,03 ;     
26.04.1993 07:01:00   ;   261,08 ;     
31.12.1994 23:59:55   ;   259,89 ;     
10.04.1995 07:01:00   ;   258,94 ;     
25.03.1996 07:01:00   ;   259,94 ;     
31.12.1997 23:59:55   ;   262,38 ;     
08.06.1998 07:01:00   ;   260,63 ;     
10.04.1999 07:01:00   ;   260,50 ;     
31.12.2000 23:59:55   ;   259,79 ;     
31.12.2001 23:59:55   ;   257,34 ;     
23.03.2002 07:01:00   ;   256,91 ;     
31.12.2003 23:59:55   ;   259,18 ;     
20.03.2004 07:01:00   ;   258,41 ;     
30.04.2005 07:01:00   ;   258,90 ;     
22.04.2006 07:01:00   ;   260,25 ;     
08.09.2007 07:01:00   ;   260,11 ;     
01.01.2008 00:00:05   ;   261,09 ;     
28.03.2009 07:01:00   ;   261,48 ;     
29.05.2010 07:01:00   ;   260,96 ;     
31.12.2011 23:59:55   ;   258,38 ;     
17.03.2012 07:01:00   ;   257,81 ;     
05.01.2013 07:01:00   ;   259,36 ;     
10.05.2014 07:01:00   ;   260,48 ;     
31.12.2015 23:59:55   ;   259,92 ;     
14.05.2016 07:01:00   ;   258,62 ;     
30.12.2017 07:01:00   ;   259,49 ;     
24.03.2018 07:01:00   ;   259,40 ;     
31.12.2019 23:59:55   ;   258,84 ;     
08.08.2020 07:01:00   ;   257,02 ;     
31.12.2021 23:59:55   ;   256,73 ;     
