Messstelle:                ;Kleblach-Lind, Bl 412
HZB-Nummer:                ;317933
HD-Nummer:                 ;
DBMS-Nummer:               ;2002077
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.04.2016
 Geländehöhe:              ;573,21
 Messpunkthöhe:            ;574,21
 Sohllage:                 ;566,21
 T-Messtiefe u.GOK:        ;6,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.01.2015               ;13 18 14                 ;46 45 12
  31.03.1987               ;13 18 09                 ;46 45 11
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.12.1988 23:59:55   ;   569,97 ;     
14.02.1989 07:01:00   ;   569,91 ;     
12.02.1990 07:01:00   ;   569,88 ;     
26.02.1991 07:01:00   ;   569,96 ;     
07.02.1992 07:01:00   ;   569,89 ;     
05.03.1993 07:01:00   ;   569,88 ;     
31.12.1994 23:59:55   ;   569,97 ;     
16.02.1995 07:01:00   ;   569,90 ;     
28.02.1996 07:01:00   ;   569,85 ;     
10.04.1997 07:30:00   ;   570,01 ;     
12.02.1998 07:30:00   ;   569,91 ;     
25.02.1999 07:30:00   ;   569,94 ;     
16.02.2000 07:30:00   ;   570,02 ;     
12.12.2001 07:30:00   ;   570,08 ;     
20.02.2002 07:30:00   ;   569,99 ;     
05.02.2003 07:30:00   ;   570,11 ;     
09.03.2004 07:30:00   ;   570,02 ;     
09.03.2005 07:30:00   ;   570,05 ;     
31.12.2006 23:59:55   ;   570,07 ;     
03.01.2007 07:30:00   ;   570,04 ;     
13.02.2008 17:00:00   ;   570,03 ;     
27.02.2009 04:00:00   ;   570,09 ;     
14.03.2010 16:00:00   ;   570,07 ;     
06.03.2011 18:00:00   ;   570,13 ;     
21.02.2012 18:00:00   ;   570,05 ;     
26.02.2013 16:00:00   ;   570,12 ;     
15.02.2014 21:00:00   ;   570,31 ;     
09.04.2015 02:00:00   ;   570,11 ;     
29.12.2016 19:00:00   ;   570,11 ;     
26.02.2017 10:00:00   ;   570,02 ;     
28.02.2018 15:00:00   ;   570,09 ;     
25.01.2019 15:00:00   ;   570,10 ;     
22.02.2020 14:00:00   ;   570,25 ;     
29.12.2021 14:00:00   ;   570,36 ;     
