Messstelle:                ;Klagenfurt, Bl 208
HZB-Nummer:                ;318121
HD-Nummer:                 ;
DBMS-Nummer:               ;2002095
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.02.2014
 Geländehöhe:              ;440,06
 Messpunkthöhe:            ;440,81
 Sohllage:                 ;431,94
 T-Messtiefe u.GOK:        ;7,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.11.1990               ;14 19 00                 ;46 37 01
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
16.11.1991 07:01:00   ;   433,67 ;     
09.10.1992 07:01:00   ;   433,45 ;     
23.09.1993 07:01:00   ;   433,29 ;     
23.10.1994 07:01:00   ;   433,64 ;     
28.12.1995 07:01:00   ;   433,24 ;     
15.03.1996 07:01:00   ;   433,21 ;     
28.11.1997 07:30:00   ;   433,24 ;     
29.05.1998 07:30:00   ;   432,92 ;     
16.04.1999 07:30:00   ;   433,29 ;     
14.04.2000 07:30:00   ;   433,40 ;     
31.12.2001 23:59:55   ;   433,10 ;     
26.04.2002 07:30:00   ;   432,70 ;     
16.05.2003 07:30:00   ;   433,30 ;     
05.03.2004 07:30:00   ;   433,65 ;     
08.04.2005 07:30:00   ;   433,58 ;     
22.12.2006 07:30:00   ;   433,51 ;     
25.05.2007 07:30:00   ;   433,20 ;     
16.05.2008 07:30:00   ;   432,93 ;     
16.01.2009 07:30:00   ;   433,84 ;     
23.07.2010 07:30:00   ;   433,61 ;     
31.12.2011 23:59:55   ;   433,57 ;     
11.05.2012 07:30:00   ;   433,03 ;     
01.11.2013 07:30:00   ;   433,70 ;     
03.01.2014 07:30:00   ;   434,13 ;     
20.05.2015 14:00:00   ;   433,63 ;     
13.02.2016 12:00:00   ;   433,86 ;     
23.06.2017 13:00:00   ;   433,66 ;     
31.12.2018 12:00:00   ;   433,62 ;     
01.02.2019 23:00:00   ;   433,44 ;     
29.05.2020 22:12:00   ;   433,68 ;     
26.11.2021 04:00:00   ;   433,72 ;     
