Messstelle:                ;Bregenz, Bl 50.1.12
HZB-Nummer:                ;322255
HD-Nummer:                 ;50.1.12
DBMS-Nummer:               ;8002112
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.12.2015
 Geländehöhe:              ;398,58
 Messpunkthöhe:            ;399,26
 Sohllage:                 ;392,98
 T-Messtiefe u.GOK:        ;4,92
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1978               ;09 42 23                 ;47 30 16
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.12.1978 07:01:00   ;   395,52 ;     
15.01.1979 07:01:00   ;   395,55 ;     
08.12.1980 07:01:00   ;   395,55 ;     
02.03.1981 07:01:00   ;   395,38 ;     
06.12.1982 07:01:00   ;   395,64 ;     
21.11.1983 07:01:00   ;   395,36 ;     
19.03.1984 07:01:00   ;   395,37 ;     
31.12.1985 23:59:55   ;   395,11 ;     
06.01.1986 07:01:00   ;   395,07 ;     
02.02.1987 07:01:00   ;   395,43 ;     
07.03.1988 07:01:00   ;   395,48 ;     
11.12.1989 07:01:00   ;   395,19 ;     
05.02.1990 07:01:00   ;   394,86 ;     
11.02.1991 07:01:00   ;   395,09 ;     
19.10.1992 07:01:00   ;   395,11 ;     
15.02.1993 07:01:00   ;   394,40 ;     
05.12.1994 07:01:00   ;   395,69 ;     
20.03.1995 07:01:00   ;   395,59 ;     
18.03.1996 07:01:00   ;   395,47 ;     
10.02.1997 07:01:00   ;   395,60 ;     
16.02.1998 07:01:00   ;   395,64 ;     
18.01.1999 07:01:00   ;   395,59 ;     
31.12.2000 23:59:55   ;   395,24 ;     
01.01.2001 07:01:00   ;   395,23 ;     
22.04.2002 07:01:00   ;   395,85 ;     
31.12.2003 23:59:55   ;   395,71 ;     
05.01.2004 07:01:00   ;   395,65 ;     
26.12.2005 07:01:00   ;   395,52 ;     
13.02.2006 09:14:00   ;   395,38 ;     
05.02.2007 07:01:00   ;   395,42 ;     
25.02.2008 07:01:00   ;   395,48 ;     
08.02.2009 09:00:00   ;   395,47 ;     
04.02.2010 08:00:00   ;   395,54 ;     
03.12.2011 17:00:00   ;   395,90 ;     
26.02.2012 01:00:00   ;   396,04 ;     
28.02.2013 20:00:00   ;   396,18 ;     
16.12.2014 00:00:00   ;   396,13 ;     
19.11.2015 02:00:00   ;   395,98 ;     
31.12.2016 08:00:00   ;   395,96 ;     
07.01.2017 09:00:00   ;   395,91 ;     
30.11.2018 08:00:00   ;   395,71 ;     
02.02.2019 17:00:00   ;   396,32 ;     
02.12.2020 08:00:00   ;   396,17 ;     
07.05.2021 09:00:00   ;   395,32 ;     
