Messstelle:                ;Steyregg, Bl 2124.5
HZB-Nummer:                ;323097
HD-Nummer:                 ;2124.5
DBMS-Nummer:               ;4002411
PorenGW-Gebiet:            ;143 Nördliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;13.02.1975
 Geländehöhe:              ;248,84
 Messpunkthöhe:            ;250,44
 Sohllage:                 ;240,79
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 23 12                 ;48 16 24
  01.01.2003               ;14 23 13                 ;48 16 25
  13.02.1975               ;14 23 13                 ;48 16 25
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.01.1980 07:01:00   ;   245,37 ;     
05.03.1981 07:01:00   ;   245,37 ;     
05.06.1982 07:01:00   ;   245,27 ;     
31.12.1983 23:59:55   ;   245,29 ;     
13.07.1984 07:01:00   ;   245,19 ;     
06.06.1985 07:01:00   ;   245,14 ;     
18.07.1986 07:01:00   ;   245,14 ;     
05.09.1987 07:01:00   ;   245,16 ;     
30.05.1988 07:01:00   ;   245,15 ;     
15.04.1989 07:01:00   ;   245,16 ;     
01.06.1990 07:01:00   ;   245,17 ;     
28.04.1991 07:01:00   ;   245,20 ;     
02.07.1992 07:01:00   ;   245,17 ;     
16.08.1993 07:01:00   ;   245,15 ;     
09.12.1994 07:01:00   ;   245,19 ;     
02.08.1995 07:01:00   ;   245,16 ;     
23.01.1996 07:01:00   ;   245,14 ;     
10.02.1997 12:00:00   ;   245,10 ;     
04.02.1998 12:00:00   ;   245,16 ;     
29.11.1999 12:00:00   ;   245,14 ;     
29.01.2000 22:00:00   ;   245,12 ;     
04.07.2001 21:00:00   ;   245,17 ;     
21.01.2002 09:00:00   ;   245,18 ;     
30.12.2003 16:00:00   ;   245,23 ;     
31.01.2004 11:00:00   ;   245,21 ;     
12.12.2005 19:00:00   ;   245,22 ;     
31.01.2006 10:00:00   ;   245,19 ;     
01.01.2007 00:00:05   ;   245,21 ;     
14.01.2008 12:00:00   ;   245,25 ;     
17.01.2009 14:00:00   ;   245,22 ;     
04.02.2010 06:00:00   ;   245,29 ;     
07.03.2011 13:00:00   ;   245,26 ;     
24.05.2012 16:00:00   ;   245,32 ;     
14.02.2013 00:00:00   ;   244,89 ;     
11.03.2014 15:00:00   ;   245,51 ;     
31.12.2015 23:59:55   ;   245,42 ;     
24.01.2016 07:00:00   ;   245,34 ;     
27.01.2017 18:00:00   ;   245,43 ;     
21.12.2018 11:00:00   ;   245,42 ;     
15.12.2019 20:00:00   ;   245,37 ;     
15.01.2020 22:00:00   ;   245,36 ;     
20.04.2021 02:00:00   ;   245,34 ;     
