Messstelle:                ;Kleinmünchen, Bl 2127.24
HZB-Nummer:                ;323766
HD-Nummer:                 ;2127.024
DBMS-Nummer:               ;4002476
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Donaukraftwerke AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.03.2015
 Geländehöhe:              ;257,88
 Messpunkthöhe:            ;258,48
 Sohllage:                 ;249,04
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 19 06                 ;48 15 53
  01.01.2003               ;14 19 07                 ;48 15 55
  01.01.1976               ;14 19 07                 ;48 15 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1980 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
29.01.1980 07:01:00   ;   250,40 ;     
02.12.1981 07:01:00   ;   250,76 ;     
21.12.1982 07:01:00   ;   250,51 ;     
20.12.1983 07:01:00   ;   250,27 ;     
14.02.1984 07:01:00   ;   250,32 ;     
29.01.1985 07:01:00   ;   250,30 ;     
07.01.1986 07:01:00   ;   250,39 ;     
07.07.1987 07:01:00   ;   250,89 ;     
07.03.1988 07:01:00   ;   251,32 ;     
28.12.1989 07:01:00   ;   251,14 ;     
14.08.1990 07:01:00   ;   250,90 ;     
26.03.1991 07:01:00   ;   250,69 ;     
01.09.1992 07:01:00   ;   251,20 ;     
24.05.1993 07:01:00   ;   251,37 ;     
08.08.1994 07:01:00   ;   251,44 ;     
23.01.1995 07:01:00   ;   251,76 ;     
12.02.1996 07:01:00   ;   251,86 ;     
10.02.1997 07:01:00   ;   252,05 ;     
08.06.1998 07:01:00   ;   252,04 ;     
05.07.1999 07:01:00   ;   252,27 ;     
18.12.2000 07:01:00   ;   252,16 ;     
12.03.2001 07:01:00   ;   252,07 ;     
24.06.2002 07:01:00   ;   251,97 ;     
21.12.2003 07:01:00   ;   251,94 ;     
12.12.2004 07:01:00   ;   251,48 ;     
16.01.2005 07:01:00   ;   251,45 ;     
12.02.2006 07:01:00   ;   251,63 ;     
01.07.2007 07:01:00   ;   251,64 ;     
09.03.2008 07:01:00   ;   251,72 ;     
06.12.2009 07:01:00   ;   251,52 ;     
09.05.2010 07:01:00   ;   251,51 ;     
16.05.2011 07:01:00   ;   251,34 ;     
16.12.2012 07:01:00   ;   251,48 ;     
27.04.2013 07:01:00   ;   251,48 ;     
20.07.2014 07:01:00   ;   251,28 ;     
16.08.2015 07:01:00   ;   250,92 ;     
01.05.2016 07:01:00   ;   251,01 ;     
22.01.2017 07:01:00   ;   251,12 ;     
29.04.2018 07:01:00   ;   251,10 ;     
08.11.2020 07:01:00   ;   250,69 ;     
07.03.2021 07:01:00   ;   250,74 ;     
