Messstelle:                ;Weiden am See, Bl  47
HZB-Nummer:                ;326199
HD-Nummer:                 ;
DBMS-Nummer:               ;1002178
PorenGW-Gebiet:            ;309 Parndorfer Platte
Grundwasserkörper:         ;Parndorfer Platte [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2015
 Geländehöhe:              ;167,55
 Messpunkthöhe:            ;168,60
 Sohllage:                 ;125,30
 T-Messtiefe u.GOK:        ;32,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.02.1982               ;16 54 47                 ;47 56 30
  31.01.1982               ;16 54 48                 ;47 56 30
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
20.12.1982 07:01:00   ;   136,88 ;     
05.12.1983 07:01:00   ;   136,75 ;     
03.12.1984 07:01:00   ;   136,54 ;     
02.12.1985 07:01:00   ;   136,33 ;     
01.12.1986 07:01:00   ;   136,21 ;     
21.12.1987 07:01:00   ;   136,09 ;     
31.12.1988 23:59:55   ;   135,98 ;     
12.11.1989 07:01:00   ;   135,87 ;     
24.12.1990 07:01:00   ;   135,78 ;     
09.12.1991 07:01:00   ;   135,70 ;     
20.12.1992 07:01:00   ;   135,64 ;     
31.10.1993 07:01:00   ;   135,55 ;     
27.11.1994 07:01:00   ;   135,40 ;     
10.12.1995 07:01:00   ;   135,23 ;     
08.12.1996 07:01:00   ;   135,05 ;     
21.12.1997 08:00:00   ;   135,10 ;     
20.09.1998 08:00:00   ;   135,07 ;     
04.04.1999 09:00:00   ;   135,11 ;     
01.01.2000 00:00:05   ;   135,21 ;     
11.02.2001 09:00:00   ;   135,27 ;     
27.01.2002 09:00:00   ;   135,48 ;     
26.01.2003 09:00:00   ;   135,52 ;     
19.12.2004 09:00:00   ;   135,52 ;     
11.12.2005 09:00:00   ;   135,43 ;     
10.09.2006 09:00:00   ;   135,38 ;     
16.12.2007 09:00:00   ;   135,22 ;     
11.10.2008 09:00:00   ;   135,13 ;     
15.02.2009 09:00:00   ;   135,10 ;     
07.03.2010 08:06:00   ;   135,07 ;     
16.01.2011 08:52:00   ;   135,16 ;     
29.01.2012 08:35:00   ;   135,26 ;     
14.04.2013 07:26:00   ;   135,35 ;     
06.03.2014 10:00:00   ;   135,47 ;     
19.02.2015 10:00:00   ;   135,53 ;     
14.11.2016 08:00:00   ;   135,67 ;     
19.01.2017 08:00:00   ;   135,68 ;     
27.01.2018 19:00:00   ;   135,73 ;     
04.02.2019 09:00:00   ;   135,76 ;     
05.11.2020 09:00:00   ;   135,74 ;     
15.12.2021 11:00:00   ;   135,60 ;     
