Messstelle:                ;Schützen am Gebirge, Br 21
HZB-Nummer:                ;326264
HD-Nummer:                 ;
DBMS-Nummer:               ;1002185
PorenGW-Gebiet:            ;313 Wulkatal
Grundwasserkörper:         ;Gruppe Wulkatal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;keine Information
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.1986
 Geländehöhe:              ;127,81
 Messpunkthöhe:            ;127,86
 Sohllage:                 ;124,46
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.03.1986               ;16 37 56                 ;47 51 11
  28.02.1986               ;16 37 52                 ;47 51 10
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2019 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
14.03.1986 07:01:00   ;   124,96 ;     
23.11.1987 07:01:00   ;   125,11 ;     
07.11.1988 07:01:00   ;   125,14 ;     
31.12.1989 23:59:55   ;   125,12 ;     
20.08.1990 07:01:00   ;   125,06 ;     
04.11.1991 07:01:00   ;   125,12 ;     
09.11.1992 07:01:00   ;   125,14 ;     
15.03.1993 07:01:00   ;   125,11 ;     
17.10.1994 07:01:00   ;   125,12 ;     
27.11.1995 07:01:00   ;   125,13 ;     
30.12.1996 07:01:00   ;   125,13 ;     
10.02.1997 07:45:00   ;   125,09 ;     
09.03.1998 07:45:00   ;   125,16 ;     
08.11.1999 07:15:00   ;   125,15 ;     
28.08.2000 07:15:00   ;   125,14 ;     
12.03.2001 07:15:00   ;   125,17 ;     
10.06.2002 07:15:00   ;   125,11 ;     
29.12.2003 07:15:00   ;   125,12 ;     
01.01.2004 00:00:05   ;   125,14 ;     
09.05.2005 07:15:00   ;   125,13 ;     
31.12.2006 23:59:55   ;   125,12 ;     
15.01.2007 07:15:00   ;   125,11 ;     
14.01.2008 07:15:00   ;   125,19 ;     
02.11.2009 07:15:00   ;   125,17 ;     
29.03.2010 07:15:00   ;   125,17 ;     
31.12.2011 23:59:55   ;   125,15 ;     
01.01.2012 10:15:00   ;   125,15 ;     
30.07.2013 16:20:00   ;   125,18 ;     
15.03.2014 09:00:00   ;   125,33 ;     
25.12.2015 10:00:00   ;   125,29 ;     
02.04.2016 14:00:00   ;   125,23 ;     
19.11.2017 11:00:00   ;   125,20 ;     
13.01.2018 11:00:00   ;   125,20 ;     
02.11.2019 14:00:00   ;   125,15 ;     
07.12.2020 14:00:00   ;   125,15 ;     
22.11.2021 14:00:00   ;   125,13 ;     
