Messstelle:                ;Kottingburgstall, Bl 259
HZB-Nummer:                ;326512
HD-Nummer:                 ;
DBMS-Nummer:               ;3002697
PorenGW-Gebiet:            ;185 Ybbstal
Grundwasserkörper:         ;Ybbstal / Ybbser Scheibe [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;04.12.2014
 Geländehöhe:              ;239,33
 Messpunkthöhe:            ;240,33
 Sohllage:                 ;228,03
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 00 43                 ;48 07 40
  01.01.2009               ;15 00 42                 ;48 07 40
  01.01.1979               ;15 00 41                 ;48 07 39
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
04.11.1979 07:01:00   ;   236,17 ;     
23.11.1980 07:01:00   ;   236,32 ;     
12.07.1981 07:01:00   ;   236,26 ;     
05.12.1982 07:01:00   ;   236,03 ;     
27.11.1983 07:01:00   ;   236,02 ;     
09.12.1984 07:01:00   ;   235,96 ;     
01.01.1985 00:00:05   ;   235,98 ;     
19.10.1986 07:01:00   ;   236,01 ;     
15.11.1987 07:01:00   ;   236,14 ;     
14.11.1988 07:01:00   ;   236,13 ;     
10.12.1989 07:01:00   ;   236,26 ;     
02.09.1990 07:01:00   ;   236,09 ;     
17.11.1991 07:01:00   ;   236,09 ;     
18.10.1992 07:01:00   ;   236,09 ;     
06.12.1993 07:01:00   ;   236,19 ;     
25.09.1994 07:01:00   ;   236,10 ;     
27.08.1995 07:01:00   ;   236,14 ;     
01.09.1996 07:01:00   ;   236,39 ;     
09.11.1997 07:01:00   ;   236,12 ;     
30.08.1998 07:01:00   ;   236,06 ;     
07.11.1999 07:01:00   ;   236,16 ;     
03.12.2000 07:01:00   ;   236,10 ;     
02.09.2001 07:01:00   ;   236,14 ;     
04.08.2002 07:01:00   ;   236,19 ;     
14.12.2003 07:01:00   ;   236,09 ;     
04.01.2004 07:01:00   ;   236,11 ;     
01.01.2005 13:00:00   ;   236,10 ;     
24.10.2006 01:00:00   ;   236,08 ;     
27.08.2007 15:00:00   ;   236,10 ;     
15.11.2008 04:00:00   ;   236,13 ;     
05.02.2009 12:00:00   ;   236,11 ;     
07.12.2010 08:00:00   ;   236,20 ;     
15.11.2011 14:00:00   ;   236,07 ;     
25.10.2012 16:00:00   ;   236,05 ;     
31.12.2013 12:00:00   ;   236,17 ;     
17.03.2014 02:00:00   ;   236,11 ;     
06.10.2015 17:00:00   ;   236,08 ;     
09.01.2016 21:00:00   ;   236,08 ;     
15.07.2017 06:00:00   ;   236,20 ;     
25.11.2018 11:00:00   ;   236,03 ;     
21.12.2019 07:00:00   ;   236,09 ;     
28.01.2020 04:00:00   ;   236,13 ;     
14.07.2021 00:00:00   ;   236,28 ;     
