Messstelle:                ;Fußach, Bl 50.2.24 A
HZB-Nummer:                ;328427
HD-Nummer:                 ;50.2.24 A
DBMS-Nummer:               ;8002220
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;28.10.2019
 Geländehöhe:              ;398,80
 Messpunkthöhe:            ;399,54
 Sohllage:                 ;389,22
 T-Messtiefe u.GOK:        ;4,26
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.12.2004               ;09 39 57                 ;47 28 02
  22.09.1998               ;09 39 57                 ;47 28 02
  01.01.1982               ;09 39 57                 ;47 28 02
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.12.1982 07:01:00   ;   397,54 ;     
21.11.1983 07:01:00   ;   397,37 ;     
26.03.1984 07:01:00   ;   397,45 ;     
04.11.1985 07:01:00   ;   397,36 ;     
20.10.1986 07:01:00   ;   397,30 ;     
02.02.1987 07:01:00   ;   397,39 ;     
22.02.1988 07:01:00   ;   397,58 ;     
31.12.1989 23:59:55   ;   397,53 ;     
20.08.1990 07:01:00   ;   397,34 ;     
09.09.1991 07:01:00   ;   397,49 ;     
03.02.1992 07:01:00   ;   397,53 ;     
15.02.1993 07:01:00   ;   397,75 ;     
22.08.1994 07:01:00   ;   397,65 ;     
30.10.1995 07:01:00   ;   397,70 ;     
12.02.1996 07:01:00   ;   397,70 ;     
06.10.1997 07:01:00   ;   397,58 ;     
31.08.1998 07:01:00   ;   397,76 ;     
27.09.1999 07:01:00   ;   397,58 ;     
24.01.2000 07:01:00   ;   397,62 ;     
01.01.2001 07:01:00   ;   397,64 ;     
21.01.2002 07:01:00   ;   397,58 ;     
22.09.2003 07:01:00   ;   397,26 ;     
20.09.2004 07:01:00   ;   397,55 ;     
19.12.2005 10:32:00   ;   397,41 ;     
13.02.2006 08:45:00   ;   397,30 ;     
01.01.2007 07:01:00   ;   397,50 ;     
01.01.2008 00:00:05   ;   397,66 ;     
05.10.2009 07:01:00   ;   397,49 ;     
18.01.2010 07:01:00   ;   397,63 ;     
05.12.2011 07:01:00   ;   397,54 ;     
20.02.2012 07:01:00   ;   397,73 ;     
25.08.2013 00:00:00   ;   397,69 ;     
17.02.2014 03:00:00   ;   397,69 ;     
14.08.2015 10:00:00   ;   397,58 ;     
27.12.2016 20:00:00   ;   397,58 ;     
01.01.2017 12:00:00   ;   397,61 ;     
30.07.2018 03:00:00   ;   397,56 ;     
29.09.2019 14:00:00   ;   397,73 ;     
27.08.2020 11:00:00   ;   397,66 ;     
01.11.2021 08:00:00   ;   397,66 ;     
