Messstelle:                ;Klosterneuburg, Bl 1940.002
HZB-Nummer:                ;331306
HD-Nummer:                 ;
DBMS-Nummer:               ;3002821
PorenGW-Gebiet:            ;205 Südliches Tullner Feld
Grundwasserkörper:         ;Tullnerfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1983
 Geländehöhe:              ;165,54
 Messpunkthöhe:            ;166,29
 Sohllage:                 ;160,19
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 20 06                 ;48 18 32
  01.01.1983               ;16 20 05                 ;48 18 33
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
23.12.1983 07:01:00   ;   160,65 ;     
30.03.1984 07:01:00   ;   160,89 ;     
25.01.1985 07:01:00   ;   160,81 ;     
19.12.1986 07:01:00   ;   160,64 ;     
01.01.1987 00:00:05   ;   161,13 ;     
30.11.1988 07:01:00   ;   161,19 ;     
13.12.1989 07:01:00   ;   161,33 ;     
14.02.1990 07:01:00   ;   161,10 ;     
19.12.1991 07:01:00   ;   160,59 ;     
22.10.1992 07:01:00   ;   160,61 ;     
15.12.1993 07:01:00   ;   161,16 ;     
09.11.1994 07:01:00   ;   160,67 ;     
25.01.1995 07:01:00   ;   161,22 ;     
20.03.1996 07:01:00   ;   161,16 ;     
27.11.1997 07:01:00   ;   161,07 ;     
05.03.1998 07:01:00   ;   161,68 ;     
02.12.1999 07:01:00   ;   161,86 ;     
31.12.2000 23:59:55   ;   161,96 ;     
04.01.2001 07:01:00   ;   161,94 ;     
16.01.2002 07:01:00   ;   162,10 ;     
01.09.2003 07:01:00   ;   161,47 ;     
05.01.2004 07:01:00   ;   161,59 ;     
17.01.2005 07:01:00   ;   161,86 ;     
06.02.2006 07:01:00   ;   161,94 ;     
02.01.2007 07:01:00   ;   161,93 ;     
17.11.2008 07:01:00   ;   162,01 ;     
02.02.2009 07:01:00   ;   162,08 ;     
24.02.2010 07:01:00   ;   162,10 ;     
12.12.2011 07:01:00   ;   162,03 ;     
17.12.2012 07:01:00   ;   162,17 ;     
26.08.2013 07:01:00   ;   162,11 ;     
28.04.2014 07:01:00   ;   161,87 ;     
30.11.2015 07:01:00   ;   161,95 ;     
25.01.2016 07:01:00   ;   161,91 ;     
06.02.2017 07:01:00   ;   162,02 ;     
20.10.2018 07:01:00   ;   161,89 ;     
28.12.2019 07:01:00   ;   162,08 ;     
27.01.2020 07:01:00   ;   162,06 ;     
01.12.2021 07:01:00   ;   162,15 ;     
