Messstelle:                ;St.Gallenkirch, Bl 19.01.08
HZB-Nummer:                ;332460
HD-Nummer:                 ;19.01.08
DBMS-Nummer:               ;8002268
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;20.07.2009
 Geländehöhe:              ;859,61
 Messpunkthöhe:            ;860,71
 Sohllage:                 ;841,11
 T-Messtiefe u.GOK:        ;14,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1992               ;09 59 08                 ;47 01 03
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
10.02.1992 07:01:00   ;   852,33 ;     
08.03.1993 07:01:00   ;   852,32 ;     
26.12.1994 07:01:00   ;   851,70 ;     
23.01.1995 07:01:00   ;   851,80 ;     
19.02.1996 07:01:00   ;   852,08 ;     
08.12.1997 07:01:00   ;   852,22 ;     
09.02.1998 07:01:00   ;   852,18 ;     
15.02.1999 07:01:00   ;   851,91 ;     
24.01.2000 07:01:00   ;   852,63 ;     
22.01.2001 07:01:00   ;   852,59 ;     
21.01.2002 07:01:00   ;   852,51 ;     
29.09.2003 07:01:00   ;   852,21 ;     
31.12.2004 23:59:55   ;   852,25 ;     
14.03.2005 07:01:00   ;   852,06 ;     
23.01.2006 10:23:00   ;   852,28 ;     
01.01.2007 07:01:00   ;   852,49 ;     
15.12.2008 07:01:00   ;   852,48 ;     
23.02.2009 07:01:00   ;   852,24 ;     
22.02.2010 07:01:00   ;   852,31 ;     
26.12.2011 07:01:00   ;   852,34 ;     
27.02.2012 07:01:00   ;   852,43 ;     
31.12.2013 23:59:55   ;   852,53 ;     
17.02.2014 14:00:00   ;   852,39 ;     
31.12.2015 04:00:00   ;   852,06 ;     
24.01.2016 09:00:00   ;   852,03 ;     
23.01.2017 12:00:00   ;   852,10 ;     
02.12.2018 14:00:00   ;   852,07 ;     
14.02.2019 14:00:00   ;   852,14 ;     
21.12.2020 10:00:00   ;   852,28 ;     
01.12.2021 14:00:00   ;   852,11 ;     
