Messstelle:                ;Gaschurn, Bl 20.00.08
HZB-Nummer:                ;332486
HD-Nummer:                 ;20.00.08
DBMS-Nummer:               ;8002270
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Kristallin [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.09.2007
 Geländehöhe:              ;934,21
 Messpunkthöhe:            ;934,02
 Sohllage:                 ;914,22
 T-Messtiefe u.GOK:        ;19,19
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  24.09.2007               ;10 00 54                 ;46 59 42
  01.01.1993               ;10 00 54                 ;46 59 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.03.1993 07:01:00   ;   921,11 ;     
31.12.1994 23:59:55   ;   920,16 ;     
13.02.1995 07:01:00   ;   919,52 ;     
18.03.1996 07:01:00   ;   921,40 ;     
24.02.1997 07:01:00   ;   922,02 ;     
16.02.1998 07:01:00   ;   921,16 ;     
15.02.1999 07:01:00   ;   919,86 ;     
31.01.2000 07:01:00   ;   922,52 ;     
05.03.2001 07:01:00   ;   922,32 ;     
04.03.2002 07:01:00   ;   922,14 ;     
01.09.2003 07:01:00   ;   921,84 ;     
08.03.2004 07:01:00   ;   920,34 ;     
14.03.2005 07:01:00   ;   919,43 ;     
25.12.2006 07:01:00   ;   924,46 ;     
19.02.2007 07:01:00   ;   924,09 ;     
14.12.2008 14:00:00   ;   923,09 ;     
26.02.2009 10:00:00   ;   921,18 ;     
22.02.2010 17:00:00   ;   922,12 ;     
12.03.2011 14:00:00   ;   922,20 ;     
24.02.2012 13:00:00   ;   922,60 ;     
28.02.2013 14:00:00   ;   924,27 ;     
31.12.2014 23:59:55   ;   923,49 ;     
01.03.2015 13:00:00   ;   922,30 ;     
22.03.2016 12:00:00   ;   922,46 ;     
30.01.2017 16:00:00   ;   922,39 ;     
02.12.2018 18:00:00   ;   923,23 ;     
16.02.2019 00:00:00   ;   921,93 ;     
31.12.2020 23:59:55   ;   923,10 ;     
21.12.2021 04:00:00   ;   922,30 ;     
