Messstelle:                ;Liesfeld, Bl 14 (K65)
HZB-Nummer:                ;334680
HD-Nummer:                 ;
DBMS-Nummer:               ;7002146
Fremdnummer:               ;GW70514061
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;23.11.2017
 Geländehöhe:              ;518,76
 Messpunkthöhe:            ;519,66
 Sohllage:                 ;473,66
 T-Messtiefe u.GOK:        ;19,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1991               ;11 59 48                 ;47 28 22
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
07.05.1991 07:01:00   ;   501,24 ;     
02.03.1992 07:01:00   ;   501,33 ;     
08.03.1993 07:01:00   ;   501,76 ;     
02.05.1994 07:01:00   ;   501,76 ;     
15.01.1995 07:01:00   ;   501,76 ;     
19.03.1996 07:01:00   ;   501,68 ;     
31.12.1997 23:59:55   ;   501,85 ;     
02.03.1998 07:01:00   ;   501,70 ;     
08.02.1999 07:01:00   ;   501,74 ;     
10.01.2000 08:30:00   ;   501,94 ;     
05.02.2001 07:01:00   ;   502,11 ;     
28.01.2002 09:00:00   ;   501,96 ;     
31.12.2003 23:59:55   ;   501,69 ;     
26.01.2004 08:30:00   ;   501,51 ;     
14.03.2005 08:30:00   ;   501,80 ;     
30.01.2006 09:00:00   ;   501,72 ;     
16.04.2007 07:30:00   ;   501,82 ;     
11.02.2008 08:30:00   ;   501,91 ;     
02.03.2009 08:30:00   ;   501,89 ;     
22.03.2010 08:30:00   ;   501,78 ;     
04.04.2011 07:30:00   ;   501,84 ;     
02.01.2012 08:00:00   ;   502,06 ;     
15.04.2013 07:00:00   ;   502,11 ;     
17.03.2014 08:00:00   ;   501,95 ;     
31.12.2015 23:59:55   ;   501,86 ;     
01.02.2016 08:00:00   ;   501,70 ;     
20.02.2017 08:30:00   ;   501,82 ;     
03.12.2018 08:30:00   ;   502,06 ;     
19.01.2019 08:30:00   ;   502,26 ;     
02.02.2020 01:00:00   ;   502,29 ;     
26.01.2021 07:00:00   ;   502,22 ;     
