Messstelle:                ;Niederdorf, Blt 26125
HZB-Nummer:                ;336420
HD-Nummer:                 ;uw26125
DBMS-Nummer:               ;6002745
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2007
 Geländehöhe:              ;582,58
 Messpunkthöhe:            ;583,58
 Sohllage:                 ;566,58
 T-Messtiefe u.GOK:        ;7,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 57 46                 ;47 18 41
  01.07.1989               ;14 57 45                 ;47 18 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
22.01.1990 07:01:00   ;   576,95 ;     
18.02.1991 07:01:00   ;   576,99 ;     
10.02.1992 07:01:00   ;   577,09 ;     
15.03.1993 07:01:00   ;   577,01 ;     
31.12.1994 23:59:55   ;   577,12 ;     
31.12.1995 23:59:55   ;   576,99 ;     
11.03.1996 07:01:00   ;   576,87 ;     
10.02.1997 07:01:00   ;   577,14 ;     
09.02.1998 07:01:00   ;   576,96 ;     
22.02.1999 07:01:00   ;   576,99 ;     
17.01.2000 07:01:00   ;   577,03 ;     
31.12.2001 23:59:55   ;   576,93 ;     
14.01.2002 07:01:00   ;   576,88 ;     
24.03.2003 07:01:00   ;   577,09 ;     
26.01.2004 07:01:00   ;   577,02 ;     
14.03.2005 07:01:00   ;   576,97 ;     
13.03.2006 07:01:00   ;   577,04 ;     
08.01.2007 07:01:00   ;   577,10 ;     
11.02.2008 07:01:00   ;   577,09 ;     
27.02.2009 07:01:00   ;   577,05 ;     
09.03.2010 07:01:00   ;   577,05 ;     
31.12.2011 23:59:55   ;   577,03 ;     
13.02.2012 07:01:00   ;   576,87 ;     
05.03.2013 15:00:00   ;   577,17 ;     
31.01.2014 03:00:00   ;   577,22 ;     
31.12.2015 15:00:00   ;   577,06 ;     
24.01.2016 00:00:00   ;   576,94 ;     
29.01.2017 09:00:00   ;   577,03 ;     
01.03.2018 14:00:00   ;   577,06 ;     
01.02.2019 07:00:00   ;   577,10 ;     
30.01.2020 02:00:00   ;   577,26 ;     
24.12.2021 07:00:00   ;   577,01 ;     
