Messstelle:                ;Altirdning, Bl  1230
HZB-Nummer:                ;336784
HD-Nummer:                 ;uw1230
DBMS-Nummer:               ;6002781
PorenGW-Gebiet:            ;157 Oberes Ennstal
Grundwasserkörper:         ;Oberes Ennstal (Landesgrenze bis Trautenfels) [DUJ
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1992
 Geländehöhe:              ;644,26
 Messpunkthöhe:            ;645,16
 Sohllage:                 ;635,16
 T-Messtiefe u.GOK:        ;7,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 04 54                 ;47 30 16
  01.01.1992               ;14 04 54                 ;47 30 16
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.02.1992 07:01:00   ;   641,78 ;     
15.03.1993 07:01:00   ;   641,71 ;     
24.10.1994 07:01:00   ;   641,75 ;     
18.12.1995 07:01:00   ;   641,66 ;     
11.03.1996 07:01:00   ;   641,52 ;     
10.02.1997 07:01:00   ;   641,68 ;     
16.02.1998 07:01:00   ;   641,68 ;     
31.12.1999 23:59:55   ;   641,78 ;     
10.01.2000 07:01:00   ;   641,77 ;     
31.12.2001 23:59:55   ;   641,84 ;     
21.01.2002 07:01:00   ;   641,76 ;     
03.03.2003 07:01:00   ;   641,79 ;     
12.01.2004 07:01:00   ;   641,74 ;     
07.03.2005 07:01:00   ;   641,73 ;     
06.02.2006 07:01:00   ;   641,76 ;     
02.01.2007 07:01:00   ;   641,83 ;     
15.12.2008 07:01:00   ;   641,85 ;     
23.02.2009 07:01:00   ;   641,67 ;     
15.02.2010 07:01:00   ;   641,61 ;     
10.01.2011 07:01:00   ;   641,73 ;     
01.01.2012 00:00:05   ;   641,76 ;     
31.12.2013 23:59:55   ;   641,90 ;     
27.01.2014 07:01:00   ;   641,83 ;     
27.12.2015 23:00:00   ;   641,81 ;     
07.01.2016 14:00:00   ;   641,75 ;     
06.02.2017 06:00:00   ;   641,75 ;     
21.10.2018 21:00:00   ;   641,71 ;     
27.10.2019 17:00:00   ;   641,86 ;     
31.12.2020 03:00:00   ;   641,86 ;     
25.01.2021 02:00:00   ;   641,69 ;     
