Messstelle:                ;Rosegg, Br 516
HZB-Nummer:                ;338376
HD-Nummer:                 ;
DBMS-Nummer:               ;2002120
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;20.08.1969
 Geländehöhe:              ;476,30
 Messpunkthöhe:            ;476,60
 Sohllage:                 ;466,65
 T-Messtiefe u.GOK:        ;9,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  19.08.1969               ;14 01 31                 ;46 35 31
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2007 bis -> FG01 bei Niederwasser trockengefallen
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
21.09.1992 07:01:00   ;   466,68 ;     
20.09.1993 07:01:00   ;   466,60 ;     
12.09.1994 07:01:00   ;   466,69 ;     
25.12.1995 07:01:00   ;   466,73 ;     
12.02.1996 07:01:00   ;   466,67 ;     
23.11.1997 07:30:00   ;   466,68 ;     
01.06.1998 07:30:00   ;   466,66 ;     
01.03.1999 07:30:00   ;   466,72 ;     
06.03.2000 07:30:00   ;   466,76 ;     
31.12.2001 07:30:00   ;   466,62 ;     
04.02.2002 07:30:00   ;   466,60 ;     
18.08.2003 07:30:00   ;   466,61 ;     
15.03.2004 07:30:00   ;   466,75 ;     
04.04.2005 07:30:00   ;   466,69 ;     
30.10.2006 07:30:00   ;   466,60 ;     
12.03.2007 07:30:00   ;   466,60 ;     
01.01.2008 00:00:05   ;   466,63 ;     
31.08.2009 07:30:00   ;   466,79 ;     
13.09.2010 07:30:00   ;   466,72 ;     
31.12.2011 23:59:55   ;   466,77 ;     
06.02.2012 07:30:00   ;   466,64 ;     
09.09.2013 07:30:00   ;   466,61 ;     
11.08.2014 07:30:00   ;   466,72 ;     
31.08.2015 07:30:00   ;   466,62 ;     
15.02.2016 07:30:00   ;   466,66 ;     
17.07.2017 07:30:00   ;   466,70 ;     
15.10.2018 07:30:00   ;   466,64 ;     
23.09.2019 13:59:00   ;   466,62 ;     
06.04.2020 14:00:00   ;   466,71 ;     
15.11.2021 15:01:00   ;   466,61 ;     
