Messstelle:                ;Klagenfurt, Blt 225
HZB-Nummer:                ;338756
HD-Nummer:                 ;
DBMS-Nummer:               ;2002139
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.08.2021
 Geländehöhe:              ;438,17
 Messpunkthöhe:            ;439,18
 Sohllage:                 ;429,69
 T-Messtiefe u.GOK:        ;4,99
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.11.1991               ;14 18 48                 ;46 35 42
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.08.1992 07:01:00   ;   435,31 ;     
12.07.1993 07:01:00   ;   435,36 ;     
12.09.1994 07:01:00   ;   435,49 ;     
07.11.1995 07:01:00   ;   435,55 ;     
18.03.1996 07:01:00   ;   435,56 ;     
14.07.1997 07:30:00   ;   435,69 ;     
08.06.1998 07:30:00   ;   435,46 ;     
01.03.1999 07:30:00   ;   435,49 ;     
28.08.2000 07:30:00   ;   435,75 ;     
31.12.2001 23:59:55   ;   435,70 ;     
08.04.2002 07:30:00   ;   435,55 ;     
11.08.2003 07:30:00   ;   435,56 ;     
15.03.2004 07:30:00   ;   435,73 ;     
07.03.2005 07:30:00   ;   435,74 ;     
31.07.2006 07:30:00   ;   435,43 ;     
23.07.2007 07:30:00   ;   435,38 ;     
07.01.2008 07:30:00   ;   435,45 ;     
15.06.2009 07:30:00   ;   435,82 ;     
02.08.2010 07:30:00   ;   435,68 ;     
03.10.2011 07:30:00   ;   435,54 ;     
20.02.2012 07:30:00   ;   435,47 ;     
09.08.2013 20:00:00   ;   435,67 ;     
04.11.2014 20:00:00   ;   435,89 ;     
27.04.2015 08:00:00   ;   435,71 ;     
03.01.2016 21:00:00   ;   435,75 ;     
15.02.2017 10:00:00   ;   435,73 ;     
24.08.2018 10:00:00   ;   435,78 ;     
31.01.2019 10:00:00   ;   435,68 ;     
10.05.2020 02:00:00   ;   435,72 ;     
25.08.2021 13:00:00   ;   435,64 ;     
